Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,SMA,RSI,buy_signal,sell_signal,action
azuki,14.4,17.74,14.4,24,1645056000,381.36,10.1325603,83.97795206566482,1,0,-1
azuki,12.51,13.5,12.51,12,1645142400,156.06,10.3735603,57.05105136518891,1,0,-1
azuki,12.35,12.7,12.35,18,1645228800,225.3,10.6237,55.17881093962509,1,0,-1
azuki,11.13,14.5,11.0,114,1645315200,1427.3118666,10.770199999999999,42.03182786116246,0,0,0
azuki,11.65,17.0,11.65,54,1645401600,707.28,10.8777,48.561556201829234,0,0,0
azuki,10.33,13.999,10.33,24,1645488000,285.402,10.7942,35.77473628681842,0,1,1
azuki,10.0,11.55,10.0,48,1645574400,501.3612,10.7582,33.05482443408956,0,1,1
azuki,7.778998,13.0,7.778998,66,1645660800,635.0939880000001,10.6721499,20.16002706202252,0,1,1
azuki,9.3,13.0,9.01,126,1645747200,1333.4399999999998,10.687149900000001,40.14732481386579,0,1,1
azuki,10.9,10.9,10.9,6,1645833600,65.4,10.782149900000002,54.97023795322745,1,0,-1
azuki,10.304,12.6,10.304,18,1645920000,200.424,10.853349900000001,49.28673210670351,0,1,1
azuki,9.511,10.25,9.511,24,1646006400,234.786,10.819199900000003,42.0549866106764,0,1,1
azuki,9.7,11.0,9.7,12,1646092800,124.2,10.793199900000001,44.48185747251021,0,1,1
azuki,11.0,11.0,11.0,6,1646179200,66.0,10.893199900000003,59.18081388593704,1,0,-1
azuki,8.12,10.0,8.12,48,1646265600,416.586,10.774199900000003,34.145794056915314,0,1,1
azuki,8.0,10.75,8.0,48,1646352000,458.94,10.704199900000003,33.40969163821839,0,1,1
azuki,10.5,10.5,10.5,6,1646438400,63.0,10.729199900000001,57.35208662075654,0,0,0
azuki,10.2,11.8,10.2,24,1646524800,260.34,10.684199900000001,54.417246887550405,0,0,0
azuki,8.76,11.37,8.76,12,1646611200,120.78,10.472199900000001,41.634149118299455,0,1,1
azuki,9.39,10.0,9.39,12,1646784000,116.34,10.291699900000001,48.27858361719555,0,1,1
azuki,8.6,8.6,8.6,6,1646870400,51.6,10.0016999,40.96816466656893,0,1,1
azuki,9.0,9.0,9.0,6,1646956800,54.0,9.8261999,46.13079713316354,0,1,1
azuki,9.0,9.0,9.0,6,1647043200,54.0,9.6586999,46.130797133163526,0,1,1
azuki,7.88,11.0,7.88,36,1647129600,349.44000000000005,9.4961999,33.36486881847673,0,1,1
azuki,8.7,8.7,8.7,6,1647388800,52.2,9.3486999,46.830577833241,0,1,1
azuki,8.55,11.0,8.55,30,1647475200,292.74,9.2596999,44.76222304976721,0,1,1
azuki,10.366500000000002,24.0,10.2,228,1647561600,2819.4599999999996,9.2780249,66.89522478378554,1,0,-1
azuki,11.1,17.0,11.1,54,1647648000,719.0400000000001,9.444075,72.46421352924783,1,0,-1
azuki,12.0,12.89,12.0,24,1647734400,298.74,9.579075,78.11164763874207,1,0,-1
azuki,10.7,24.5,10.7,42,1647820800,573.606,9.569074999999998,57.00293454005582,1,0,-1
azuki,12.25,18.9,12.25,60,1647907200,828.18,9.666374999999999,69.34819731653644,1,0,-1
azuki,12.68,16.5,12.68,60,1647993600,848.1600000000001,9.824824999999999,72.1237102935186,1,0,-1
azuki,13.99,20.9,13.88,426,1648080000,6817.176,10.039325,79.27145353466672,1,0,-1
azuki,14.902,24.8,14.902,90,1648166400,1578.3120000000004,10.234424999999998,83.0529353489114,1,0,-1
azuki,16.611,42.5,16.46,186,1648252800,3606.12,10.658974999999998,88.12663064725288,1,0,-1
azuki,16.1,21.69,16.1,60,1648339200,1111.2012,11.063974999999997,79.25790289663409,1,0,-1
azuki,15.0,17.8,15.0,48,1648425600,758.6099999999999,11.288974999999997,62.36889909529684,1,0,-1
azuki,16.6,34.0,16.6,66,1648512000,1297.5300000000002,11.608974999999997,72.8772137450191,1,0,-1
azuki,16.61,34.49,16.61,42,1648598400,867.0,12.001475,72.9362561513341,1,0,-1
azuki,15.75,48.0,15.527,258,1648684800,5283.150000000001,12.319475,59.104979116012125,1,0,-1
azuki,20.0,42.5,20.0,444,1648771200,11079.54,12.889475,81.16684840475008,1,0,-1
azuki,23.2,29.99,23.2,24,1649376000,611.94,13.599474999999998,87.50903413037454,1,0,-1
azuki,22.0,25.5,22.0,24,1649548800,558.06,14.249474999999999,75.57860403434947,1,0,-1
azuki,18.99,210.0,18.99,54,1649635200,2350.6200000000003,14.804974999999999,52.946105779782506,1,0,-1
azuki,23.6,25.9,23.6,42,1649721600,1036.5414,15.549975,70.09213310293514,1,0,-1
azuki,22.56,24.5,22.56,18,1649980800,423.96,16.250475,63.560828807443016,1,0,-1
azuki,23.0,29.8888,23.0,42,1650067200,1097.6988,16.882150000000003,65.27217388360471,1,0,-1
azuki,23.11,34.0,23.11,66,1650153600,1766.346,17.48265,65.77448080900339,1,0,-1
azuki,23.5,31.5,23.5,36,1650240000,941.226,18.057650000000002,67.83625060049431,1,0,-1
azuki,22.3,25.3,22.3,60,1650412800,1452.54414,18.63765,55.07552368859725,1,0,-1
azuki,22.07,26.69,22.07,60,1650585600,1430.154,19.12865,52.70041118801018,1,0,-1
azuki,21.5,28.0,21.5,30,1650672000,737.39994,19.569650000000003,46.48972532711428,0,0,0
azuki,20.79,34.5,20.79,72,1650758400,1857.42,19.909650000000003,39.28179766272258,0,0,0
azuki,21.0,27.0,21.0,42,1650844800,1008.414,20.214550000000003,42.57361606351394,0,0,0
azuki,23.5,35.0,23.5,78,1650931200,2036.94,20.559000000000005,68.21592954360352,1,0,-1
azuki,21.5,105.0,21.5,54,1651017600,1839.0660000000005,20.829,47.1584878827482,0,0,0
azuki,22.0,28.0,22.0,54,1651104000,1302.4199999999998,21.179000000000002,51.80738874595187,1,0,-1
azuki,21.55,41.5,21.55,48,1651190400,1273.806,21.4265,47.1415333495442,0,0,0
azuki,21.51,32.0,21.51,96,1651363200,2522.8199999999997,21.6715,46.674469288529316,0,1,1
azuki,22.69,30.0,22.69,60,1651795200,1548.42,22.0185,60.94358722781015,1,0,-1
azuki,20.11,26.0,20.1,138,1651881600,3204.81,22.024,35.200573370196445,0,1,1
azuki,18.65,23.8,18.5,162,1651968000,3294.1992000000005,21.7965,27.102468625958753,0,1,1
azuki,12.0,23.69,10.6,570,1652054400,9185.8914590988,21.2965,11.73357187925485,0,1,1
azuki,8.9,63.0,7.99,2706,1652140800,34047.702602026206,20.791999999999998,8.819360754349429,0,1,1
