Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,SMA,RSI,buy_signal,sell_signal,action
boredapeyachtclub,100.0,1080.6899999999998,100.0,78,1643500800,14775.24,79.1815,63.658870341199744,1,0,-1
boredapeyachtclub,108.0,269.69,0.1369,144,1643587200,17485.115400000002,80.8315,68.47826258650474,1,0,-1
boredapeyachtclub,116.5,131.0,116.5,30,1643673600,3657.0,82.98150000000001,73.19875932408377,1,0,-1
boredapeyachtclub,95.0,125.0,95.0,18,1643760000,1920.0,84.0815,49.677269754748664,0,0,0
boredapeyachtclub,103.0,103.0,103.0,6,1643846400,618.0,85.98150000000001,56.22051619890944,1,0,-1
boredapeyachtclub,99.0,140.0,99.0,36,1643932800,4108.62,87.1815,51.99508178367582,1,0,-1
boredapeyachtclub,117.88,136.1,117.88,18,1644019200,2321.88,89.72550000000001,66.74255061157201,1,0,-1
boredapeyachtclub,99.0,159.0,99.0,30,1644105600,3402.0,89.27550000000001,48.224061509537364,0,0,0
boredapeyachtclub,90.25,110.0,90.25,24,1644192000,2448.3,90.388,41.5460314127198,0,1,1
boredapeyachtclub,90.0,115.0,90.0,30,1644364800,2910.0,91.138,41.3415689860387,0,1,1
boredapeyachtclub,89.99,140.0,89.99,18,1644451200,1973.94,92.23750000000001,41.331398678810025,0,1,1
boredapeyachtclub,115.0,190.0,115.0,12,1644537600,1830.0,94.23750000000001,66.83663703515994,1,0,-1
boredapeyachtclub,96.0,113.9,96.0,24,1644624000,2513.4,95.03750000000001,47.30684689694264,0,0,0
boredapeyachtclub,102.0,113.88,102.0,12,1644710400,1295.28,95.88750000000002,52.756093369568205,1,0,-1
boredapeyachtclub,78.1,78.1,78.1,6,1645142400,468.6,95.76750000000001,34.82436546907842,0,1,1
boredapeyachtclub,72.0,105.0,72.0,30,1645315200,2559.234,95.7175,31.417442686055068,0,1,1
boredapeyachtclub,82.44,82.44,82.44,6,1645401600,494.64,95.49550000000002,43.287177518632205,0,1,1
boredapeyachtclub,80.257,85.0,80.257,12,1645488000,991.542,94.77085000000002,41.41375720498069,0,1,1
boredapeyachtclub,72.0,72.0,72.0,6,1645660800,432.0,94.87085000000002,34.37901822309114,0,1,1
boredapeyachtclub,88.88,88.88,88.88,6,1645833600,533.28,94.76485000000002,54.24155719228303,0,0,0
boredapeyachtclub,80.0,98.0,80.0,12,1646006400,1068.0,93.76485000000002,45.23744940177129,0,1,1
