Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,SMA,RSI,buy_signal,sell_signal,action
clonex,11.2,27.777,11.2,120,1643500800,1921.602,6.779525,69.92631965562872,1,0,-1
clonex,15.0,47.5,15.0,216,1643587200,4523.681399999999,7.279525,81.71512782854671,1,0,-1
clonex,14.5,88.0,14.5,66,1643673600,1665.294,7.7394750000000005,76.76578606642374,1,0,-1
clonex,16.0,52.0,16.0,36,1643760000,1062.894,8.264975,81.06623043785703,1,0,-1
clonex,13.001,31.5,13.001,42,1643846400,785.4659999999999,8.632525,55.42712281856428,1,0,-1
clonex,15.0,47.5,15.0,18,1643932800,489.0,9.112525,64.72317848233253,1,0,-1
clonex,12.1,13.88,12.1,12,1644019200,155.88,9.442525,46.96205729106307,0,0,0
clonex,14.0,21.69,14.0,30,1644105600,473.28,9.872525,56.69445166278106,1,0,-1
clonex,16.0,40.0,16.0,36,1644192000,752.31,10.406775,65.1168399195532,1,0,-1
clonex,12.14,15.0,12.14,18,1644364800,235.74,10.743775,44.321256734930934,0,0,0
clonex,15.0,20.0,15.0,18,1644451200,307.33320000000003,11.207424999999999,57.03066118192288,1,0,-1
clonex,12.7,14.4,12.7,18,1644537600,240.9,11.542924999999999,46.38674410578163,0,0,0
clonex,15.63,19.1,15.63,18,1644624000,304.38,12.054424999999998,58.6698861645616,1,0,-1
clonex,14.2,50.0,14.2,18,1644710400,478.2,12.439424999999996,51.47517223162056,1,0,-1
clonex,14.01,14.01,14.01,6,1644796800,84.06,12.639924999999996,50.447706633666975,1,0,-1
clonex,19.0,19.0,19.0,6,1644883200,114.0,13.287424999999995,70.06408898768915,1,0,-1
clonex,15.0,15.0,15.0,12,1644969600,180.0,13.692424999999997,50.165254576081,1,0,-1
clonex,12.5,12.5,12.5,6,1645056000,75.0,13.916924999999997,41.055725610236735,0,1,1
clonex,9.0,21.0,9.0,18,1645315200,264.0,13.899049999999997,31.155143927367018,0,1,1
clonex,15.0,15.0,15.0,6,1645401600,90.0,14.049049999999998,54.610270917839934,1,0,-1
clonex,11.763,17.3,11.763,12,1645488000,174.378,14.077199999999996,44.407386462191006,0,1,1
clonex,13.33,18.87,13.33,72,1645747200,1086.54,13.993699999999995,50.05397190992672,0,0,0
clonex,12.88,15.5,12.88,18,1645833600,253.68000000000004,13.912699999999996,48.29317955923238,0,1,1
clonex,11.451,11.451,11.451,6,1645920000,68.706,13.685249999999996,42.375945758717435,0,1,1
clonex,13.1,13.1,13.1,6,1646179200,78.6,13.690199999999999,51.03070889496693,0,0,0
clonex,12.54,12.54,12.54,6,1646352000,75.24,13.5672,47.97214274548625,0,1,1
clonex,11.25,11.25,11.25,6,1646524800,67.5,13.5247,40.91151195195103,0,1,1
clonex,10.5,11.5,10.5,18,1646611200,196.8,13.349699999999999,36.9583177784521,0,1,1
clonex,11.09,12.0,11.09,12,1646784000,138.54000000000002,13.104199999999997,42.42860501133973,0,1,1
clonex,10.28,10.28,10.28,6,1646956800,61.68,13.011199999999997,36.92942536372764,0,1,1
clonex,12.29,12.29,12.29,6,1647043200,73.74,12.875699999999998,55.01486986165437,0,0,0
clonex,10.0,11.5,10.0,30,1647129600,327.6,12.740699999999999,39.062847875079704,0,1,1
clonex,11.002,11.022,11.002,12,1647302400,132.144,12.5093,47.404075867856434,0,1,1
clonex,11.25,11.59,11.25,12,1647388800,137.04000000000002,12.361799999999999,49.54095915075129,0,1,1
clonex,10.25,11.8,10.25,24,1647475200,264.24,12.1738,41.120344587460934,0,1,1
clonex,12.0,17.8,12.0,72,1647561600,1020.5700000000002,11.8238,57.07902610335884,1,0,-1
clonex,12.4,18.4,12.4,72,1647648000,1038.42,11.6938,60.16392044991127,1,0,-1
clonex,14.99,17.0,14.99,24,1647734400,371.94,11.8183,74.81484732178996,1,0,-1
clonex,13.0,17.9,13.0,36,1647907200,552.9,12.0183,55.28631918622162,1,0,-1
clonex,14.0,14.0,14.0,6,1647993600,84.0,11.968300000000001,61.584874039464566,1,0,-1
clonex,13.8,18.75,13.8,30,1648080000,455.1,12.070150000000002,59.48987625584111,1,0,-1
clonex,13.5,20.2,13.5,24,1648166400,381.0,12.07865,55.922898080600156,1,0,-1
clonex,14.69,15.0,14.69,24,1648252800,358.14,12.16915,66.02393906243519,1,0,-1
clonex,15.0,17.0,15.0,12,1648339200,192.0,12.3466,68.38330000172954,1,0,-1
clonex,11.1,11.1,11.1,6,1648425600,66.6,12.2466,32.68754435800695,0,1,1
clonex,12.9,13.98,12.9,12,1648512000,161.28000000000003,12.264600000000002,48.26699506612769,0,0,0
clonex,12.7,16.5,12.7,12,1648598400,175.2,12.337100000000001,46.763737412056635,0,0,0
clonex,16.969,20.5,16.969,12,1648684800,224.814,12.66055,70.92467890040707,1,0,-1
clonex,13.15,21.5,13.15,42,1648771200,658.38,12.76355,47.04774255710507,0,0,0
