Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,SMA,RSI,buy_signal,sell_signal,action
doodles-official,11.96,19.0,11.4,108,1643500800,1490.5800000000002,10.495355,69.05761822068267,1,0,-1
doodles-official,11.01,25.0,9.4,156,1643587200,2390.667,10.530854999999999,55.16731685403465,1,0,-1
doodles-official,14.5,41.0,14.5,60,1643673600,1187.508,10.730855,76.69406522117316,1,0,-1
doodles-official,12.0,13.2,12.0,12,1643760000,151.2,10.804855,53.63444729436616,1,0,-1
doodles-official,11.3,12.8,11.3,24,1643846400,289.8,10.814355,48.52766027553941,0,0,0
doodles-official,12.5,16.0,12.5,60,1643932800,834.8340000000001,10.839355000000001,57.25000461057241,1,0,-1
doodles-official,13.5,14.99,13.5,48,1644019200,687.4200000000001,10.664355,63.66395679200486,1,0,-1
doodles-official,13.7,14.0,13.7,12,1644105600,166.2,10.844355,64.97759455814118,1,0,-1
doodles-official,15.0,15.9,15.0,24,1644192000,367.7999999999999,11.079355,72.92930798198248,1,0,-1
doodles-official,12.65,16.4,12.65,24,1644278400,332.94,11.186855,48.20058909529941,0,0,0
doodles-official,18.25,18.25,18.25,6,1644364800,109.5,11.636855,74.2293971506296,1,0,-1
doodles-official,12.5,13.69,12.5,12,1644451200,157.14,11.84629,45.12590043269162,0,0,0
doodles-official,12.5,12.5,12.5,6,1644537600,75.0,12.02129,45.12590043269162,0,0,0
doodles-official,13.2,64.2,13.2,24,1644624000,665.4,12.27129,48.9343509372926,0,0,0
doodles-official,12.82,15.0,12.82,24,1644710400,345.0,12.42979,46.73343148184092,0,0,0
doodles-official,12.81,13.84,12.81,12,1644796800,159.9,12.57779,46.664391234565365,0,0,0
doodles-official,12.5,84.0,12.5,12,1644883200,579.0,12.76879,44.137678545336556,0,1,1
doodles-official,13.79,13.79,13.79,6,1644969600,82.73999999999998,12.91029,56.41371436361873,1,0,-1
doodles-official,11.7,12.0,11.7,12,1645056000,142.2,12.96079,39.0393663548632,0,1,1
doodles-official,11.0,12.0,11.0,24,1645228800,271.3452,12.9595,34.58056910871697,0,1,1
doodles-official,11.0711,11.0711,11.0711,6,1645315200,66.4266,12.915054999999999,35.51565357039827,0,1,1
doodles-official,11.12,12.7498,11.12,12,1645401600,143.2188,12.920554999999998,36.298440231364566,0,1,1
doodles-official,11.11,11.11,11.11,6,1645488000,66.66,12.751055,36.18615240476993,0,1,1
doodles-official,9.20196,9.8,9.20196,12,1645574400,114.01176,12.611152999999998,20.822894949308672,0,1,1
doodles-official,10.4,10.65,10.4,12,1645660800,126.3,12.566152999999998,40.61224959548203,0,1,1
doodles-official,10.9,13.37,10.9,24,1645747200,295.5,12.486152999999998,47.46255118098846,0,1,1
doodles-official,10.252,12.0,10.252,12,1646006400,133.512,12.323753,39.9898501326837,0,1,1
doodles-official,10.0,10.0,10.0,6,1646092800,60.0,12.138753,37.14680627903249,0,1,1
doodles-official,10.5,10.7,10.5,12,1646179200,127.2,11.913753,46.56816145975819,0,1,1
doodles-official,9.5802,9.5802,9.5802,6,1646265600,57.481199999999994,11.760262999999998,34.6313392107414,0,1,1
doodles-official,8.124,8.124,8.124,6,1646352000,48.74400000000001,11.253962999999999,22.976235484015454,0,1,1
doodles-official,9.7,9.7,9.7,6,1646438400,58.2,11.113962999999998,47.07340416805117,0,1,1
doodles-official,9.7,9.7,9.7,6,1646524800,58.2,10.973962999999998,47.07340416805116,0,1,1
doodles-official,15.4,15.4,15.4,6,1646611200,92.4,11.083962999999999,80.87905489641878,1,0,-1
doodles-official,8.2,9.69,8.2,18,1646784000,163.74,10.852962999999999,40.268056729851956,0,1,1
doodles-official,10.2,75.0,10.2,36,1647043200,913.14,10.722462999999998,49.13604717186471,0,1,1
doodles-official,10.3,12.99,10.3,72,1647129600,798.78,10.612462999999998,49.60367191677438,0,1,1
doodles-official,11.7,12.8,11.7,24,1647216000,292.98,10.507962999999998,56.588146675314846,1,0,-1
doodles-official,15.0,21.6,15.0,12,1647302400,219.6,10.672963,69.17534344276582,1,0,-1
doodles-official,13.29,13.29,13.29,6,1647388800,79.73999999999998,10.787462999999999,58.237841398921816,1,0,-1
doodles-official,12.25,13.3,12.25,18,1647475200,227.1,10.846407999999998,51.988665685272885,1,0,-1
doodles-official,13.5,13.5,13.5,6,1647561600,81.0,10.965407999999998,58.65420772678496,1,0,-1
doodles-official,13.75,15.169,13.75,12,1647648000,173.514,11.097407999999998,60.0411077173994,1,0,-1
doodles-official,14.9,14.9,14.9,6,1647734400,89.4,11.38231,66.50210038684689,1,0,-1
doodles-official,11.001,13.75,11.001,18,1647820800,226.506,11.41236,39.46118687608327,0,1,1
doodles-official,11.2,18.5,11.2,12,1647993600,178.2,11.427359999999998,40.99194698579653,0,1,1
doodles-official,12.2,14.0,12.2,24,1648080000,315.0,11.524759999999997,49.07959143237303,0,0,0
doodles-official,13.33,14.9,13.33,54,1648166400,768.66,11.691259999999998,57.33870210213122,1,0,-1
doodles-official,13.999,14.99,13.999,12,1648252800,173.934,11.866209999999999,61.91066299110771,1,0,-1
doodles-official,18.0,18.0,18.0,6,1648339200,108.0,12.287199999999999,78.85292068977414,1,0,-1
doodles-official,15.0,15.0,15.0,6,1648425600,90.0,12.630999999999998,55.65176837534162,1,0,-1
doodles-official,11.501,12.7,11.501,12,1648512000,145.20600000000002,12.72105,38.94543803114519,0,1,1
doodles-official,12.0,13.5,12.0,12,1648598400,153.0,12.83605,42.0467571362923,0,1,1
doodles-official,13.5,13.5,13.5,6,1648684800,81.0,12.74105,51.33521957845998,1,0,-1
doodles-official,12.3,17.29,12.3,36,1648771200,504.54,12.94605,44.24400651588328,0,1,1
doodles-official,14.0,14.08,14.0,12,1648857600,168.48000000000002,13.136050000000001,55.2022105607963,1,0,-1
doodles-official,14.22,18.0,13.8,150,1648944000,2370.33,13.33205,56.582580843304285,1,0,-1
doodles-official,15.5,17.5,15.5,72,1649030400,1186.5,13.522050000000002,64.53106730495163,1,0,-1
doodles-official,15.75,22.0,15.75,48,1649116800,877.9559999999999,13.559550000000002,66.0485334984979,1,0,-1
doodles-official,14.5,16.08,14.5,12,1649289600,183.48,13.62005,52.11367350924638,1,0,-1
doodles-official,14.99,17.99,14.99,12,1649462400,197.88,13.757050000000001,56.60032173587809,1,0,-1
doodles-official,14.41,14.41,14.41,6,1649548800,86.46,13.802550000000002,49.70921008502406,0,0,0
doodles-official,14.0,14.1,14.0,12,1649635200,168.6,13.815050000000003,44.88087323589083,0,0,0
doodles-official,13.5,15.0,13.5,12,1649721600,171.0,13.745050000000003,39.09257223475674,0,1,1
doodles-official,14.76,16.69,14.76,24,1649808000,367.5,13.933000000000003,56.68825271348615,1,0,-1
