Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,Prediction_Start,SMA,RSI,buy_signal,sell_signal,action
pudgypenguins,1.2,1.88,1.2,60,1643673600,90.12,False,1.3000999999999998,54.92049231688675,0,0,0
pudgypenguins,1.5,1.8,1.5,24,1643760000,38.105999999999995,False,1.2900999999999998,65.75820027243435,1,0,-1
pudgypenguins,1.17,3.65,1.17,42,1643846400,75.06,False,1.1385999999999998,49.42114493676932,0,0,0
pudgypenguins,1.14,1.25,1.14,18,1643932800,21.54,False,1.1256,48.06419792566251,0,0,0
pudgypenguins,1.0,1.229,1.0,30,1644105600,32.64,False,1.0996000000000001,41.42877021656676,0,1,1
pudgypenguins,1.011,1.03,1.011,12,1644192000,12.246,False,1.08315,42.21230317764749,0,1,1
pudgypenguins,1.0205,1.25,1.0205,30,1644278400,34.923,False,1.069675,43.03496665526105,0,1,1
pudgypenguins,1.0155,1.3,1.0155,24,1644364800,27.093000000000004,False,1.05595,42.635651177672564,0,1,1
pudgypenguins,1.06,1.06,1.06,6,1644451200,6.360000000000001,False,1.0589499999999998,48.00314741839357,0,0,0
pudgypenguins,1.08,1.3,1.08,18,1644537600,21.78,False,1.0694499999999998,50.599939393389405,1,0,-1
pudgypenguins,1.086,1.086,1.086,6,1644624000,6.516000000000001,False,1.0742499999999997,51.50809571663283,1,0,-1
pudgypenguins,1.06,1.2,1.06,18,1644710400,20.0706,False,1.0672999999999997,46.84349445557645,0,1,1
pudgypenguins,0.97,0.9751,0.97,12,1644796800,11.6706,False,1.0682999999999996,33.65559824579742,0,1,1
pudgypenguins,0.92,1.25,0.92,18,1644883200,19.92,False,1.0717999999999996,28.151721491080966,0,1,1
pudgypenguins,1.4,1.51,1.4,12,1644969600,17.46,False,1.0942999999999996,75.74678639664329,1,0,-1
pudgypenguins,3.0,3.0,3.0,6,1645142400,18.0,False,1.1996999999999995,93.54995232476772,1,0,-1
