Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth
azuki,1.55,2.25,1.49,816,1641945600,1484.7348360000003
azuki,1.9,3.0,1.85,138,1642032000,318.6354
azuki,2.44,2.99,2.44,24,1642118400,65.90339999999999
azuki,2.4,2.85,2.4,36,1642204800,95.28
azuki,2.46,2.6,2.46,24,1642291200,60.36
azuki,2.41,2.59,2.41,42,1642377600,105.02999999999999
azuki,2.5,2.59,2.5,30,1642464000,75.96000000000001
azuki,2.8,3.8,2.8,102,1642550400,316.5
azuki,2.32785,9.42,2.101,114,1642636800,453.34727999999996
azuki,3.4,7.5,2.9,162,1642723200,690.0922734000001
azuki,3.6,12.5,3.6,24,1642809600,144.6
azuki,3.232,4.15,3.232,48,1642896000,185.586
azuki,3.67,8.0,3.67,36,1642982400,161.256
azuki,3.85,65.0,3.85,138,1643068800,1022.2140000000002
azuki,5.05,13.5,4.34,282,1643155200,1987.2288
azuki,7.69,45.0,7.0,192,1643241600,2315.6339999999996
azuki,6.11,100.0,6.11,96,1643328000,1312.5599999999997
azuki,7.347206,9.69,7.347206,78,1643414400,663.253236
azuki,8.2,25.69,7.21,162,1643500800,1788.78
azuki,9.5,21.0,8.6,186,1643587200,2269.1099999999997
azuki,12.0,45.0,3.0,216,1643673600,3534.8400000000006
azuki,10.72,145.0,10.22,138,1643760000,3160.6200000000003
azuki,9.5,14.69,9.5,72,1643846400,866.0406
azuki,9.0,15.0,8.51,126,1643932800,1381.3199999999997
azuki,9.0,12.0,9.0,36,1644019200,371.21999999999997
azuki,8.88,11.0,8.88,30,1644105600,296.16
azuki,10.194,80.0,9.76,108,1644192000,2206.62
azuki,10.22,21.0,10.22,36,1644278400,462.66
azuki,9.0,15.0,9.0,36,1644364800,391.08
azuki,10.5,12.49,10.5,42,1644451200,461.04
azuki,9.4,10.99,9.4,48,1644537600,481.37999999999994
azuki,10.0,13.0,10.0,36,1644710400,416.93999999999994
azuki,11.1,15.5,11.1,12,1644796800,159.6
azuki,13.0,20.0,13.0,90,1644883200,1371.1319999999998
azuki,13.0,30.01,13.0,36,1644969600,611.088
azuki,14.4,17.74,14.4,24,1645056000,381.35999999999996
azuki,12.51,13.5,12.51,12,1645142400,156.06
azuki,12.35,12.7,12.35,18,1645228800,225.29999999999998
azuki,11.129999999999999,14.5,11.0,114,1645315200,1427.3118666
azuki,11.65,17.0,11.65,54,1645401600,707.28
azuki,10.33,13.999,10.33,24,1645488000,285.402
azuki,10.0,11.55,10.0,48,1645574400,501.3612
azuki,7.778998,13.0,7.778998,66,1645660800,635.0939880000001
azuki,9.3,13.0,9.01,126,1645747200,1333.4399999999998
azuki,10.9,10.9,10.9,6,1645833600,65.4
azuki,10.304,12.6,10.304,18,1645920000,200.424
azuki,9.511,10.25,9.511,24,1646006400,234.786
azuki,9.7,11.0,9.7,12,1646092800,124.2
azuki,11.0,11.0,11.0,6,1646179200,66.0
azuki,8.12,10.0,8.12,48,1646265600,416.58599999999996
azuki,8.0,10.75,8.0,48,1646352000,458.94
azuki,10.5,10.5,10.5,6,1646438400,63.0
azuki,10.2,11.8,10.2,24,1646524800,260.34
azuki,8.76,11.37,8.76,12,1646611200,120.78
azuki,9.39,10.0,9.39,12,1646784000,116.34
azuki,8.6,8.6,8.6,6,1646870400,51.6
azuki,9.0,9.0,9.0,6,1646956800,54.0
azuki,9.0,9.0,9.0,6,1647043200,54.0
azuki,7.88,11.0,7.88,36,1647129600,349.44000000000005
azuki,0.21,11.7,0.21,12,1647216000,71.46000000000001
azuki,8.7,8.7,8.7,6,1647388800,52.2
azuki,8.55,11.0,8.55,30,1647475200,292.74
azuki,10.366500000000002,24.0,10.2,228,1647561600,2819.4599999999996
azuki,11.1,17.0,11.1,54,1647648000,719.0400000000001
