Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth
bored-ape-kennel-club,5.85,5.85,5.85,12,1641772800,70.2
bored-ape-kennel-club,6.2,15.0,6.2,84,1641859200,751.068
bored-ape-kennel-club,5.6,26.0,5.6,72,1641945600,604.6134
bored-ape-kennel-club,5.0,6.2369,5.0,48,1642032000,273.4554
bored-ape-kennel-club,5.9,7.0,5.9,18,1642118400,113.34
bored-ape-kennel-club,4.9,5.98,4.9,18,1642204800,100.02000000000001
bored-ape-kennel-club,5.85,6.2,5.85,12,1642291200,72.30000000000001
bored-ape-kennel-club,5.949,80.0,5.949,12,1642377600,515.694
bored-ape-kennel-club,5.4,7.9999,5.4,60,1642464000,388.6296
bored-ape-kennel-club,5.9,80.0,5.9,84,1642550400,2234.6808
bored-ape-kennel-club,4.169,90.0,4.169,60,1642636800,2437.0194
bored-ape-kennel-club,4.939,90.0,4.939,78,1642723200,2395.4214
bored-ape-kennel-club,3.6,80.0,3.6,48,1642809600,1574.8139999999999
bored-ape-kennel-club,5.269,80.0,5.269,54,1642896000,1605.5268
bored-ape-kennel-club,5.693,5.807124,5.693,12,1642982400,69.000744
bored-ape-kennel-club,6.15,7.7,6.15,30,1643068800,199.02000000000004
bored-ape-kennel-club,6.1,7.0,6.1,60,1643155200,392.94
bored-ape-kennel-club,6.42,100.0,6.42,72,1643241600,1213.782
bored-ape-kennel-club,6.7,9.89,6.7,66,1643328000,519.78
bored-ape-kennel-club,7.7,106.6969,7.69,186,1643414400,4366.2804
bored-ape-kennel-club,8.318415,12.666,8.25,228,1643500800,2191.9056
bored-ape-kennel-club,8.88,17.0,8.4,282,1643587200,3146.5194000000006
bored-ape-kennel-club,9.001,12.6969,9.001,96,1643673600,993.4806
bored-ape-kennel-club,8.001,9.4,8.001,54,1643760000,459.07200000000006
bored-ape-kennel-club,8.4,9.4,8.4,48,1643846400,421.61999999999995
bored-ape-kennel-club,9.4,10.5,9.4,36,1643932800,359.03999999999996
bored-ape-kennel-club,8.05,11.0,8.05,42,1644019200,375.0
bored-ape-kennel-club,8.11,10.0,8.11,54,1644105600,497.52
bored-ape-kennel-club,8.21,9.4,8.21,36,1644192000,310.12800000000004
bored-ape-kennel-club,8.01,9.95,8.01,30,1644278400,262.13939999999997
bored-ape-kennel-club,7.8,8.79,7.8,42,1644364800,342.85200000000003
bored-ape-kennel-club,7.8,50.0,7.8,18,1644451200,400.2
bored-ape-kennel-club,7.51,8.5,7.51,18,1644537600,141.17999999999998
bored-ape-kennel-club,7.32,9.0,7.32,30,1644796800,238.38
bored-ape-kennel-club,7.51,14.0,7.51,18,1644883200,174.18
bored-ape-kennel-club,7.89,7.89,7.89,6,1644969600,47.339999999999996
bored-ape-kennel-club,7.21,7.59,7.21,30,1645056000,220.26
bored-ape-kennel-club,7.1,7.75,7.1,36,1645142400,265.14
bored-ape-kennel-club,7.39,7.39,7.39,6,1645228800,44.339999999999996
