Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth
pudgypenguins,1.7,2.8,1.7,18,1641859200,43.2
pudgypenguins,4.2,4.2,4.2,6,1641945600,25.2
pudgypenguins,1.4,1.69,1.4,24,1642032000,36.54
pudgypenguins,1.52,376.0,1.52,18,1642118400,2274.426
pudgypenguins,1.34,1.34,1.34,6,1642204800,8.040000000000001
pudgypenguins,1.29,1.41,1.29,18,1642291200,24.54
pudgypenguins,1.29,1.4,1.29,12,1642377600,16.14
pudgypenguins,1.0,1.1,1.0,12,1642464000,12.6
pudgypenguins,0.87,1.26,0.87,18,1642550400,18.18
pudgypenguins,0.99,4.9,0.99,18,1642636800,41.346
pudgypenguins,1.199,1.199,1.199,6,1642723200,7.194
pudgypenguins,0.95,1.0,0.95,18,1642809600,17.46
pudgypenguins,0.85,0.97,0.85,12,1642896000,10.919999999999998
pudgypenguins,0.95,0.95,0.95,6,1643068800,5.7
pudgypenguins,0.892,4.69,0.892,12,1643155200,33.492000000000004
pudgypenguins,0.921,1.299,0.921,42,1643241600,45.4812
pudgypenguins,1.0,1.4,1.0,24,1643328000,29.514000000000003
pudgypenguins,1.4,1.4,1.4,6,1643414400,8.4
pudgypenguins,1.04,2.3,1.04,30,1643500800,42.900000000000006
pudgypenguins,1.2,1.88,1.2,60,1643673600,90.12
pudgypenguins,1.5,1.8,1.5,24,1643760000,38.105999999999995
pudgypenguins,1.17,3.65,1.17,42,1643846400,75.06
pudgypenguins,1.14,1.25,1.14,18,1643932800,21.54
pudgypenguins,1.0,1.229,1.0,30,1644105600,32.64
pudgypenguins,1.011,1.03,1.011,12,1644192000,12.246
pudgypenguins,1.0205,1.25,1.0205,30,1644278400,34.923
pudgypenguins,1.0155,1.3,1.0155,24,1644364800,27.093000000000004
pudgypenguins,1.06,1.06,1.06,6,1644451200,6.360000000000001
pudgypenguins,1.08,1.3,1.08,18,1644537600,21.78
pudgypenguins,1.086,1.086,1.086,6,1644624000,6.516000000000001
pudgypenguins,1.06,1.2,1.06,18,1644710400,20.0706
pudgypenguins,0.97,0.9751,0.97,12,1644796800,11.6706
pudgypenguins,0.92,1.25,0.92,18,1644883200,19.92
pudgypenguins,1.4,1.51,1.4,12,1644969600,17.46
pudgypenguins,3.0,3.0,3.0,6,1645142400,18.0
pudgypenguins,1.045,1.2,1.045,12,1645228800,13.469999999999999
pudgypenguins,0.91,1.0,0.91,12,1645401600,11.46
pudgypenguins,0.859,1.15,0.859,12,1645574400,12.054
pudgypenguins,0.761,1.19,0.761,18,1645660800,16.854
pudgypenguins,0.76,0.842,0.76,12,1645920000,9.611999999999998
pudgypenguins,0.7661,0.7663,0.7661,18,1646179200,13.791599999999999
pudgypenguins,0.75,0.908,0.75,36,1646265600,30.048000000000005
pudgypenguins,0.76,1.6,0.76,18,1646352000,19.56
pudgypenguins,0.682,0.683,0.682,12,1646524800,8.190000000000001
pudgypenguins,0.6511,0.664,0.6511,24,1646611200,15.7866
pudgypenguins,0.59,0.655,0.59,12,1646697600,7.470000000000001
pudgypenguins,0.59,0.59,0.59,6,1646784000,3.5399999999999996
pudgypenguins,0.6499,0.72,0.6499,12,1646870400,8.2194
pudgypenguins,0.998,0.998,0.998,6,1646956800,5.988
pudgypenguins,0.69,0.69,0.69,6,1647043200,4.14
pudgypenguins,0.715,0.715,0.715,6,1647216000,4.29
pudgypenguins,0.88,0.88,0.88,6,1647388800,5.28
pudgypenguins,0.852,0.852,0.852,6,1647475200,5.112
pudgypenguins,0.812,0.9,0.812,12,1647648000,10.272000000000002
pudgypenguins,1.06,1.06,1.06,6,1647734400,6.360000000000001
pudgypenguins,1.0,1.44,1.0,96,1647820800,114.83400000000003
pudgypenguins,0.9252,0.969,0.9252,12,1648080000,11.365200000000002
pudgypenguins,0.8113,1.3,0.8113,12,1648252800,12.6678
pudgypenguins,0.85,0.97,0.85,24,1648339200,22.410000000000004
pudgypenguins,0.685,1.35,0.685,90,1648425600,89.616
pudgypenguins,3.0,3.0,3.0,6,1648512000,18.0
pudgypenguins,1.12,1.55,1.12,60,1648684800,80.06400000000001
pudgypenguins,1.5,5.25,1.3,432,1648771200,985.0715999999999
pudgypenguins,2.1497,2.39,2.125,114,1648857600,257.7414
pudgypenguins,2.43,3.79,2.4,144,1648944000,393.054
pudgypenguins,2.79,5.66,2.75,150,1649030400,498.234
pudgypenguins,3.2,5.25,3.05,168,1649116800,625.0968
pudgypenguins,2.512,3.54,2.512,60,1649203200,187.4526
pudgypenguins,2.25,3.2,2.25,30,1649289600,77.46
pudgypenguins,3.0,3.0,3.0,6,1649376000,18.0
pudgypenguins,2.0,5.0,2.0,54,1649462400,135.3192
pudgypenguins,2.0,2.8,2.0,24,1649548800,59.400000000000006
pudgypenguins,1.6750001,3.45,1.6750001,36,1649635200,83.9160006
pudgypenguins,1.94,2.27,1.94,18,1649721600,37.260000000000005
pudgypenguins,2.175,2.35,2.175,24,1649808000,54.540000000000006
pudgypenguins,2.3,2.3,2.3,6,1649894400,13.8
pudgypenguins,2.1,2.5,2.1,48,1649980800,109.14
pudgypenguins,2.15,2.49,2.15,18,1650067200,40.74
pudgypenguins,2.15,2.15,2.15,6,1650153600,12.9
pudgypenguins,2.2,2.22,2.2,12,1650326400,26.520000000000003
pudgypenguins,1.901,2.3,1.901,24,1650412800,51.54600000000001
pudgypenguins,2.3,2.9,2.3,48,1650499200,124.61999999999999
pudgypenguins,2.05,2.69,2.05,36,1650585600,85.446
pudgypenguins,1.85,1.96,1.85,30,1650672000,57.120000000000005
pudgypenguins,1.8134,2.07,1.8134,24,1650758400,46.8204
