Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth
valhalla,0.7,2.0,0.66,14550,1669075200,13120.181847128264
valhalla,0.639,0.84,0.61,7836,1669161600,5521.067683424876
valhalla,0.5081,0.7499,0.4757,4974,1669248000,2846.435171143838
valhalla,0.53,0.95,0.51101,924,1669334400,544.8270119999399
valhalla,0.522,0.6696,0.05989989,1140,1669420800,656.9196533399399
valhalla,0.501,0.6,0.49,978,1669507200,522.7356
valhalla,0.4859,0.549,0.479,1176,1669593600,599.5913441988
valhalla,0.529705,0.764,0.486,3582,1669680000,2330.64993
valhalla,0.63,0.795,0.621,756,1669766400,518.415047994
valhalla,0.6969050000000001,0.9888,0.65,1032,1669852800,777.0574799940002
valhalla,0.7,0.798,0.0001,714,1669939200,532.1361
valhalla,0.673,0.777,0.66,372,1670025600,265.988454
valhalla,0.62,0.78,0.613,390,1670112000,266.4023993999999
valhalla,0.62095,0.777,0.01,480,1670198400,313.67333999999994
valhalla,0.631,0.767,0.62,1008,1670284800,676.1333489999998
valhalla,0.405,9.21,0.351,8310,1670371200,6276.648853213334
valhalla,0.494,25.0,0.435,6882,1670457600,6273.8826267330005
valhalla,0.45,11.0,0.4206,1866,1670544000,1640.3289000000004
valhalla,0.446,9.69,0.4,1098,1670630400,932.1535493218182
valhalla,0.525,9.75,0.46,3126,1670716800,2925.61188920635
valhalla,0.698,26.63,0.0699,8100,1670803200,9428.972496401522
valhalla,0.95,27.0,0.37499,7296,1670889600,11094.99016800593
valhalla,1.2,19.0,0.19,5730,1670976000,9323.378605655736
valhalla,1.12,15.5115,1.0000000000000002,3864,1671062400,5406.923465880002
valhalla,0.9162,14.4,0.815,3492,1671148800,4250.669172000003
valhalla,0.815,4.8,0.73,1020,1671235200,1206.7496813999999
valhalla,0.831,11.96,1e-05,1614,1671321600,2258.7571499993996
valhalla,1.16,13.0,1.1,1068,1671408000,1699.2505290085305
valhalla,1.00001,5.0,0.8,672,1671494400,1040.0882736
valhalla,1.181,13.0,1.17,576,1671580800,1029.164934
valhalla,0.95,12.5,0.8608,762,1671667200,1124.27161840734
valhalla,0.92,15.0,0.893229,864,1671753600,1185.7315680000002
valhalla,0.971,5.0,0.97,294,1671840000,374.66606410800006
valhalla,0.905,4.51,0.8625,276,1671926400,342.18372
valhalla,0.84,7.6928,0.8306,444,1672012800,533.2385999999999
valhalla,0.85855,2.9,0.8,408,1672099200,459.5472516
valhalla,0.81,7.0,0.7576,426,1672185600,512.5027146012
valhalla,0.777,23.5,0.75,456,1672272000,625.35612228
valhalla,0.775,2.9889,0.74,312,1672358400,346.3167516
valhalla,0.775,13.0,0.75801,312,1672444800,370.4988599999999
valhalla,0.75,8.0,0.7361,324,1672531200,340.7485200000001
valhalla,0.715,7.42,0.705,546,1672617600,672.025090404
