Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,Prediction_Start
boredapeyachtclub,75.0,75.0,75.0,6,1631318400,450.0,False
boredapeyachtclub,73.5,80.0,73.5,18,1641859200,1383.0,False
boredapeyachtclub,73.0,85.0,73.0,42,1641945600,3323.94,False
boredapeyachtclub,65.0,97.0,65.0,18,1642032000,1416.0,False
boredapeyachtclub,75.0,80.0,75.0,12,1642118400,930.0,False
boredapeyachtclub,67.0,91.0,67.0,24,1642204800,1902.0,False
boredapeyachtclub,108.0,140.0,108.0,18,1642291200,2154.0,False
boredapeyachtclub,68.0,91.5,68.0,30,1642377600,2335.74,False
boredapeyachtclub,75.0,88.0,75.0,30,1642464000,2454.0,False
boredapeyachtclub,68.0,120.0,68.0,30,1642550400,2835.0,False
boredapeyachtclub,75.0,93.0,75.0,24,1642636800,2037.0,False
boredapeyachtclub,80.0,100.0,80.0,30,1642723200,2622.0,False
boredapeyachtclub,85.0,85.0,85.0,6,1642809600,510.0,False
boredapeyachtclub,80.5,85.0,80.5,18,1642896000,1502.94,False
boredapeyachtclub,73.0,93.0,73.0,18,1642982400,1536.0,False
boredapeyachtclub,86.88,103.0,86.88,66,1643068800,6252.4614,False
boredapeyachtclub,94.75,124.0,94.75,24,1643155200,2687.1,False
boredapeyachtclub,70.0,115.0,70.0,42,1643241600,4110.6,False
boredapeyachtclub,91.0,117.0,91.0,72,1643328000,7175.273999999999,False
boredapeyachtclub,0.63,120.0,0.63,84,1643414400,7996.259999999998,False
boredapeyachtclub,100.0,1080.6899999999998,100.0,78,1643500800,14775.24,False
boredapeyachtclub,108.0,269.69,0.1369,144,1643587200,17485.115400000002,False
boredapeyachtclub,116.5,131.0,116.5,30,1643673600,3657.0,False
boredapeyachtclub,95.0,125.0,95.0,18,1643760000,1920.0,False
boredapeyachtclub,103.0,103.0,103.0,6,1643846400,618.0,False
boredapeyachtclub,99.0,140.0,99.0,36,1643932800,4108.62,False
boredapeyachtclub,117.88,136.1,117.88,18,1644019200,2321.88,False
boredapeyachtclub,99.0,159.0,99.0,30,1644105600,3402.0,False
boredapeyachtclub,90.25,110.0,90.25,24,1644192000,2448.3,False
boredapeyachtclub,90.0,115.0,90.0,30,1644364800,2910.0,False
boredapeyachtclub,89.99,140.0,89.99,18,1644451200,1973.94,False
boredapeyachtclub,115.0,190.0,115.0,12,1644537600,1830.0,False
boredapeyachtclub,96.0,113.9,96.0,24,1644624000,2513.4,False
boredapeyachtclub,102.0,113.88,102.0,12,1644710400,1295.28,False
boredapeyachtclub,220.0,220.0,220.0,6,1645056000,1320.0,False
boredapeyachtclub,78.1,78.1,78.1,6,1645142400,468.6,False
boredapeyachtclub,72.0,105.0,72.0,30,1645315200,2559.234,False
boredapeyachtclub,82.44,82.44,82.44,6,1645401600,494.64,False
boredapeyachtclub,80.257,85.0,80.257,12,1645488000,991.542,False
boredapeyachtclub,72.0,72.0,72.0,6,1645660800,432.0,False
boredapeyachtclub,88.88,88.88,88.88,6,1645833600,533.28,False
boredapeyachtclub,137.0,137.0,137.0,6,1645920000,822.0,False
boredapeyachtclub,80.0,98.0,80.0,12,1646006400,1068.0,False
boredapeyachtclub,88.0,88.0,88.0,6,1646092800,528.0,False
boredapeyachtclub,73.19,77.69,73.19,12,1646179200,905.28,False
boredapeyachtclub,75.0,75.0,75.0,6,1646438400,450.0,False
boredapeyachtclub,60.0,66.0,60.0,12,1646611200,756.0,False
boredapeyachtclub,82.0,82.0,82.0,6,1646697600,492.0,False
boredapeyachtclub,73.69,140.0,73.69,18,1646870400,1762.14,False
boredapeyachtclub,74.2,99.0,74.2,24,1647043200,2017.2,False
boredapeyachtclub,89.0,120.0,89.0,42,1647129600,4194.3,False
boredapeyachtclub,99.3,99.3,99.3,6,1647216000,595.8,False
boredapeyachtclub,87.0,89.99,87.0,24,1647302400,2117.2200000000003,False
boredapeyachtclub,97.79,109.0,97.79,18,1647388800,1828.74,False
boredapeyachtclub,77.7,120.0,77.0,108,1647475200,10917.12,False
boredapeyachtclub,81.72,189.0,81.2,114,1647561600,12924.095999999998,False
boredapeyachtclub,94.0,118.0,94.0,90,1647648000,9287.1,False
boredapeyachtclub,100.1,150.0,100.1,24,1647734400,2940.6,False
boredapeyachtclub,85.5,105.8,85.5,30,1647820800,2863.5,False
boredapeyachtclub,93.5,128.69,93.5,42,1647907200,4506.780000000001,False
boredapeyachtclub,103.0,115.0,103.0,18,1647993600,1939.62,False
boredapeyachtclub,93.5,109.0,93.5,36,1648080000,3639.6,False
boredapeyachtclub,94.0,109.0,94.0,30,1648166400,3079.56,False
boredapeyachtclub,103.98,123.97,103.98,36,1648252800,3971.460000000001,False
boredapeyachtclub,108.99,109.5,108.99,18,1648339200,1964.94,False
boredapeyachtclub,95.5,135.0,95.5,18,1648425600,1989.00006,False
boredapeyachtclub,149.0,155.0,149.0,18,1648512000,2754.0,False
boredapeyachtclub,109.27,125.0,109.27,30,1648598400,3472.56,False
boredapeyachtclub,100.0,120.0,100.0,18,1648684800,1968.0,False
boredapeyachtclub,100.0,169.69,100.0,54,1648771200,7060.14,False
boredapeyachtclub,98.4,240.0,98.4,18,1648857600,2744.34,False
boredapeyachtclub,106.0,115.0,106.0,24,1648944000,2634.165,False
boredapeyachtclub,109.5,164.69,109.5,24,1649030400,3018.96,False
boredapeyachtclub,109.0,120.0,109.0,18,1649116800,2086.1400000000003,False
boredapeyachtclub,97.5,110.5,97.5,24,1649203200,2544.0,False
boredapeyachtclub,105.0,175.0,105.0,30,1649289600,3747.0,False
boredapeyachtclub,103.0,130.0,103.0,24,1649376000,2741.94,False
boredapeyachtclub,101.0,136.5,101.0,12,1649462400,1425.0,False
boredapeyachtclub,108.0,109.96,108.0,12,1649548800,1307.76,False
boredapeyachtclub,117.9,119.0,117.9,12,1649635200,1421.4,False
boredapeyachtclub,120.0,120.0,120.0,6,1649721600,720.0,False
boredapeyachtclub,108.99,115.0,108.99,12,1649808000,1343.94,False
boredapeyachtclub,119.0,119.0,119.0,6,1649894400,714.0,False
boredapeyachtclub,101.0,139.5,101.0,42,1649980800,4781.4,False
boredapeyachtclub,101.0,107.5,101.0,12,1650067200,1251.0,False
boredapeyachtclub,103.5,118.0,103.5,12,1650153600,1329.0,False
boredapeyachtclub,140.0,140.0,140.0,6,1650240000,840.0,False
boredapeyachtclub,113.0,131.0,113.0,42,1650326400,4981.680000000001,False
boredapeyachtclub,114.9,150.0,114.9,60,1650412800,7671.000000000001,False
boredapeyachtclub,123.69,135.0,123.69,24,1650499200,3100.1400000000003,False
boredapeyachtclub,127.94,170.0,127.94,42,1650585600,5729.34,False
boredapeyachtclub,114.69,180.0,114.69,54,1650672000,7218.954000000001,False
boredapeyachtclub,121.175,155.0,117.5,108,1650758400,14768.088,False
boredapeyachtclub,116.6,192.09670000000003,114.0,114,1650844800,16647.3276,False
boredapeyachtclub,119.01,141.99,119.01,30,1650931200,4008.0,False
boredapeyachtclub,139.0,149.0,139.0,24,1651017600,3420.0,False
boredapeyachtclub,117.01,175.0,117.01,72,1651104000,10221.0,False
boredapeyachtclub,131.0,192.0,131.0,90,1651190400,14058.180000000002,False
boredapeyachtclub,144.965,399.0,130.0,234,1651276800,38883.656524139995,False
boredapeyachtclub,126.0,239.0,122.5,204,1651363200,32339.4,False
boredapeyachtclub,109.5,180.0,109.5,54,1651449600,6748.14,False
boredapeyachtclub,94.01,150.0,94.01,72,1651536000,8356.26,False
boredapeyachtclub,106.99,149.0,100.0,198,1651622400,23858.7732,False
boredapeyachtclub,98.01,135.0,98.01,48,1651708800,5582.34,False
boredapeyachtclub,96.5,139.0,96.5,42,1651795200,4577.981400000001,False
boredapeyachtclub,95.498474414212,136.5,95.498474414212,30,1651881600,3359.990846485272,False
boredapeyachtclub,104.0,104.0,104.0,6,1651968000,624.0,False
boredapeyachtclub,83.015,135.0,83.01,102,1652054400,9518.52,False
boredapeyachtclub,88.0,138.0,88.0,84,1652140800,8685.0,False
boredapeyachtclub,90.01,177.0,90.01,66,1652227200,6945.54,False
boredapeyachtclub,82.02,125.0,82.02,36,1652313600,3529.68,False
boredapeyachtclub,89.75,110.0,89.75,42,1652400000,4096.4400000000005,False
boredapeyachtclub,92.0,98.5,92.0,18,1652486400,1706.94,False
boredapeyachtclub,97.2,154.0,97.2,24,1652572800,2751.6,False
boredapeyachtclub,96.9,129.99,96.9,18,1652659200,2078.34,False
boredapeyachtclub,93.0,130.0,93.0,24,1652745600,2604.0,False
boredapeyachtclub,91.7,119.99,91.7,36,1652832000,3833.94,False
boredapeyachtclub,86.91,101.999,86.91,18,1652918400,1673.4540000000002,False
boredapeyachtclub,84.11,101.99,84.11,42,1653004800,3829.2,False
boredapeyachtclub,84.7,117.0,84.7,24,1653091200,2440.0200000000004,False
boredapeyachtclub,84.81,104.0,84.81,36,1653177600,3253.6200000000003,False
boredapeyachtclub,96.0,96.0,96.0,6,1653264000,576.0,False
boredapeyachtclub,90.99,91.49,90.99,12,1653350400,1094.88,False
boredapeyachtclub,86.0,109.0,86.0,24,1653436800,2316.0,False
boredapeyachtclub,81.2,109.1,81.2,36,1653523200,3230.9999999399997,False
boredapeyachtclub,81.73,120.0,81.73,24,1653609600,2268.7200000000003,False
boredapeyachtclub,77.03,90.0,77.03,12,1653696000,1002.18,False
boredapeyachtclub,80.0,85.0,80.0,12,1653782400,990.0,False
boredapeyachtclub,71.521,142.0,71.521,42,1653868800,3880.206,False
boredapeyachtclub,77.801,97.2,77.801,48,1653955200,4115.286,False
boredapeyachtclub,79.99,160.0,79.99,78,1654041600,7658.9286,False
boredapeyachtclub,82.0,90.0,82.0,18,1654128000,1524.0,False
boredapeyachtclub,94.2,150.0,94.2,18,1654214400,2119.2,False
boredapeyachtclub,91.0,99.8,91.0,18,1654300800,1726.7399999999998,False
boredapeyachtclub,86.9,140.0,86.9,42,1654473600,4306.1993999999995,False
boredapeyachtclub,80.0,96.0,80.0,48,1654560000,4289.4,False
boredapeyachtclub,93.5,100.0,93.5,12,1654646400,1161.0,False
boredapeyachtclub,90.0,125.0,90.0,36,1654732800,3765.0,False
boredapeyachtclub,81.5,93.0,81.5,24,1654819200,2065.26,False
boredapeyachtclub,88.0,93.0,88.0,12,1654905600,1086.0,False
boredapeyachtclub,99.99,110.0,99.99,12,1654992000,1259.94,False
boredapeyachtclub,66.34,131.0,65.0,186,1655078400,14641.0032,False
boredapeyachtclub,73.43,120.0,73.43,78,1655164800,6736.98,False
boredapeyachtclub,73.0,120.0,70.0,198,1655251200,17152.482000000004,False
boredapeyachtclub,75.0,125.0,73.0,126,1655337600,11139.66,False
boredapeyachtclub,81.53176500000001,119.0,81.0,114,1655424000,10284.1794,False
boredapeyachtclub,82.19,95.0,82.19,96,1655510400,8257.14,False
boredapeyachtclub,80.8,140.0,77.0,132,1655596800,12114.0198,False
boredapeyachtclub,89.3,155.55550000000002,89.0,132,1655683200,13808.688600000003,False
boredapeyachtclub,82.0,233.33,82.0,120,1655769600,11622.746165478977,False
boredapeyachtclub,81.2965,120.0,79.99,114,1655856000,10462.2,False
boredapeyachtclub,83.0,94.0,83.0,42,1655942400,3678.5328,False
boredapeyachtclub,84.0,100.0,84.0,66,1656028800,6065.7594,False
boredapeyachtclub,82.31,139.0,82.31,60,1656115200,6200.4,False
boredapeyachtclub,85.93274705009888,155.0,85.8585,102,1656201600,10084.534202957837,False
boredapeyachtclub,84.8,116.0,84.8,84,1656288000,8383.199999999999,False
boredapeyachtclub,78.0,201.0,78.0,78,1656374400,8537.94,False
boredapeyachtclub,78.0,124.78294761175177,78.0,66,1656460800,6414.582545451627,False
