Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,Prediction_Start
doodles-official,10.3,10.7,10.3,18,1641772800,187.8,False
doodles-official,10.5,50.0,10.5,168,1641859200,2070.54,False
doodles-official,10.52,19.0,10.52,66,1641945600,836.0699999999999,False
doodles-official,11.11,11.11,11.11,6,1642032000,66.66,False
doodles-official,12.0,13.0,12.0,12,1642118400,150.0,False
doodles-official,17.0,17.0,17.0,6,1642204800,102.0,False
doodles-official,10.1,10.1,10.1,6,1642291200,60.6,False
doodles-official,10.3,10.3,10.3,6,1642377600,61.8,False
doodles-official,10.5,12.0,10.5,42,1642464000,475.74,False
doodles-official,9.25,9.69,9.25,12,1642550400,113.64,False
doodles-official,8.3113,15.0,8.3113,24,1642636800,259.8678,False
doodles-official,9.0,10.2,9.0,18,1642723200,174.0,False
doodles-official,8.2,10.5,8.2,12,1642809600,112.2,False
doodles-official,9.65,11.35,9.65,18,1642896000,186.6,False
doodles-official,9.85,10.0,9.85,18,1643068800,179.04,False
doodles-official,8.68,12.0,8.68,42,1643155200,418.6799999999999,False
doodles-official,10.96,55.0,10.96,18,1643241600,470.76,False
doodles-official,10.69,12.7,10.69,18,1643328000,207.83999999999995,False
doodles-official,11.0258,14.5,10.888,114,1643414400,1414.062,False
doodles-official,11.96,19.0,11.4,108,1643500800,1490.5800000000002,False
doodles-official,11.01,25.0,9.4,156,1643587200,2390.667,False
doodles-official,14.5,41.0,14.5,60,1643673600,1187.508,False
doodles-official,12.0,13.2,12.0,12,1643760000,151.2,False
doodles-official,11.3,12.8,11.3,24,1643846400,289.8,False
doodles-official,12.5,16.0,12.5,60,1643932800,834.8340000000001,False
doodles-official,13.5,14.99,13.5,48,1644019200,687.4200000000001,False
doodles-official,13.7,14.0,13.7,12,1644105600,166.2,False
doodles-official,15.0,15.9,15.0,24,1644192000,367.7999999999999,False
doodles-official,12.65,16.4,12.65,24,1644278400,332.94,False
doodles-official,18.25,18.25,18.25,6,1644364800,109.5,False
doodles-official,12.5,13.69,12.5,12,1644451200,157.14,False
doodles-official,12.5,12.5,12.5,6,1644537600,75.0,False
doodles-official,13.2,64.2,13.2,24,1644624000,665.4,False
doodles-official,12.82,15.0,12.82,24,1644710400,345.0,False
doodles-official,12.81,13.84,12.81,12,1644796800,159.9,False
doodles-official,12.5,84.0,12.5,12,1644883200,579.0,False
doodles-official,13.79,13.79,13.79,6,1644969600,82.73999999999998,False
doodles-official,11.7,12.0,11.7,12,1645056000,142.2,False
doodles-official,11.0,12.0,11.0,24,1645228800,271.3452,False
doodles-official,11.0711,11.0711,11.0711,6,1645315200,66.4266,False
doodles-official,11.12,12.7498,11.12,12,1645401600,143.2188,False
doodles-official,11.11,11.11,11.11,6,1645488000,66.66,False
doodles-official,9.20196,9.8,9.20196,12,1645574400,114.01176,False
doodles-official,10.4,10.65,10.4,12,1645660800,126.3,False
doodles-official,10.9,13.37,10.9,24,1645747200,295.5,False
doodles-official,10.252,12.0,10.252,12,1646006400,133.512,False
doodles-official,10.0,10.0,10.0,6,1646092800,60.0,False
doodles-official,10.5,10.7,10.5,12,1646179200,127.2,False
doodles-official,9.5802,9.5802,9.5802,6,1646265600,57.481199999999994,False
doodles-official,8.124,8.124,8.124,6,1646352000,48.74400000000001,False
doodles-official,9.7,9.7,9.7,6,1646438400,58.2,False
doodles-official,9.7,9.7,9.7,6,1646524800,58.2,False
doodles-official,15.4,15.4,15.4,6,1646611200,92.4,False
doodles-official,8.2,9.69,8.2,18,1646784000,163.74,False
doodles-official,10.2,75.0,10.2,36,1647043200,913.14,False
doodles-official,10.3,12.99,10.3,72,1647129600,798.78,False
doodles-official,11.7,12.8,11.7,24,1647216000,292.98,False
doodles-official,15.0,21.6,15.0,12,1647302400,219.6,False
doodles-official,13.29,13.29,13.29,6,1647388800,79.73999999999998,False
doodles-official,12.25,13.3,12.25,18,1647475200,227.1,False
doodles-official,13.5,13.5,13.5,6,1647561600,81.0,False
doodles-official,13.75,15.169,13.75,12,1647648000,173.514,False
doodles-official,14.9,14.9,14.9,6,1647734400,89.4,False
doodles-official,11.001,13.75,11.001,18,1647820800,226.506,False
doodles-official,11.2,18.5,11.2,12,1647993600,178.2,False
doodles-official,12.2,14.0,12.2,24,1648080000,315.0,False
doodles-official,13.33,14.9,13.33,54,1648166400,768.66,False
doodles-official,13.999,14.99,13.999,12,1648252800,173.934,False
doodles-official,18.0,18.0,18.0,6,1648339200,108.0,False
doodles-official,15.0,15.0,15.0,6,1648425600,90.0,False
doodles-official,11.501,12.7,11.501,12,1648512000,145.20600000000002,False
doodles-official,12.0,13.5,12.0,12,1648598400,153.0,False
doodles-official,13.5,13.5,13.5,6,1648684800,81.0,False
doodles-official,12.3,17.29,12.3,36,1648771200,504.54,False
doodles-official,14.0,14.08,14.0,12,1648857600,168.48000000000002,False
doodles-official,14.22,18.0,13.8,150,1648944000,2370.33,False
doodles-official,15.5,17.5,15.5,72,1649030400,1186.5,False
doodles-official,15.75,22.0,15.75,48,1649116800,877.9559999999999,False
doodles-official,14.5,16.08,14.5,12,1649289600,183.48,False
doodles-official,14.99,17.99,14.99,12,1649462400,197.88,False
doodles-official,14.41,14.41,14.41,6,1649548800,86.46,False
doodles-official,14.0,14.1,14.0,12,1649635200,168.6,False
doodles-official,13.5,15.0,13.5,12,1649721600,171.0,False
doodles-official,14.76,16.69,14.76,24,1649808000,367.5,False
doodles-official,15.0,17.0,15.0,18,1649894400,284.4,False
doodles-official,14.5,33.0,14.5,18,1649980800,378.0,False
doodles-official,16.0,17.95,16.0,42,1650067200,721.38,False
doodles-official,17.0,17.0,17.0,12,1650153600,204.0,False
doodles-official,16.0,16.0,16.0,6,1650240000,96.0,False
doodles-official,15.5,17.0,15.5,24,1650326400,387.6,False
doodles-official,15.4888,15.49,15.4888,12,1650412800,185.8728,False
doodles-official,15.0,15.7,15.0,42,1650499200,646.68,False
doodles-official,14.001,21.0,14.001,60,1650585600,967.452,False
doodles-official,13.5,15.8,13.5,30,1650672000,440.58,False
doodles-official,13.0,22.0,13.0,90,1650758400,1323.2334,False
doodles-official,13.01,17.0,13.01,84,1650844800,1243.5060000000003,False
doodles-official,15.0125,45.0,14.99,222,1650931200,3891.4740000000006,False
doodles-official,16.0,17.7,16.0,36,1651017600,599.64,False
doodles-official,14.0,16.75,14.0,24,1651104000,363.0,False
doodles-official,14.35,15.48,14.35,24,1651190400,364.74,False
doodles-official,14.3,16.5,14.3,54,1651276800,820.5,False
doodles-official,16.9,35.0,15.369,756,1651363200,15417.642000000002,False
doodles-official,21.5,25.5,20.0,270,1651449600,6140.724,False
doodles-official,21.0,25.0,21.0,72,1651536000,1675.2,False
doodles-official,19.5,22.98,19.5,48,1651622400,1016.82,False
doodles-official,20.69,69.0,20.2,252,1651708800,6249.6599400000005,False
doodles-official,21.0,25.69,19.602,336,1651795200,7576.5119999399985,False
doodles-official,19.75,23.1,19.75,96,1651881600,2020.6425,False
doodles-official,17.9,21.0,17.9,84,1651968000,1616.7,False
doodles-official,15.0,21.75,14.3889791799,282,1652054400,4933.2256750793995,False
doodles-official,15.965,21.0,15.75,234,1652140800,4247.735999999999,False
doodles-official,15.3,31.0,15.1,252,1652227200,4626.636,False
doodles-official,13.99,18.0,13.0,252,1652313600,3771.63,False
doodles-official,11.99,17.0,10.64,204,1652400000,2757.2940000000003,False
doodles-official,13.13,15.0,13.13,66,1652486400,912.06,False
doodles-official,13.5,18.0,13.5,54,1652572800,791.0400000000001,False
doodles-official,13.0,15.0,13.0,36,1652659200,490.794,False
doodles-official,12.99,42.0,12.99,18,1652745600,413.82,False
doodles-official,12.301,15.0,12.301,60,1652832000,792.9060000000001,False
doodles-official,12.2,17.5,12.2,36,1652918400,472.2000000000001,False
doodles-official,11.5,18.5,11.5,36,1653004800,489.522,False
doodles-official,11.5,13.6888,11.5,48,1653091200,601.0728,False
doodles-official,11.01,12.7,11.01,24,1653177600,288.65999999999997,False
doodles-official,11.02,12.89,11.02,36,1653264000,433.86,False
doodles-official,11.0,17.0,11.0,30,1653350400,402.528,False
doodles-official,11.59,15.0,11.59,78,1653436800,1006.8,False
doodles-official,11.6,15.0,11.6,18,1653523200,235.8,False
doodles-official,10.81,15.0,10.81,42,1653609600,516.0606,False
doodles-official,12.9,12.9,12.9,6,1653696000,77.4,False
doodles-official,10.45,11.89,10.45,24,1653782400,261.24,False
doodles-official,11.15,11.49,11.15,18,1653868800,203.64,False
doodles-official,11.5,14.5,11.5,42,1653955200,515.22,False
doodles-official,10.75,12.0,10.75,12,1654041600,136.5,False
doodles-official,12.0,15.0,12.0,36,1654128000,455.1,False
doodles-official,10.6,12.5,10.6,12,1654214400,138.6,False
doodles-official,12.2,12.2,12.2,6,1654387200,73.2,False
doodles-official,12.7,12.75,12.7,12,1654560000,152.7,False
doodles-official,10.75,10.75,10.75,6,1654646400,64.5,False
doodles-official,11.75,12.0,11.75,12,1654732800,142.5,False
doodles-official,11.5,11.5,11.5,6,1654819200,69.0,False
doodles-official,9.51,10.1,9.51,12,1654905600,117.66,False
doodles-official,8.5,10.0,8.5,30,1654992000,281.4,False
doodles-official,5.5,10.0,5.5,90,1655078400,692.37,False
doodles-official,7.23,9.5,7.23,78,1655164800,676.066662,False
doodles-official,9.0,39.69,8.75,210,1655251200,2678.34,False
doodles-official,9.36324405,40.0,9.15,222,1655337600,2862.0245940000004,False
doodles-official,10.7,13.75,10.7,72,1655424000,823.62,False
doodles-official,9.51,12.45,9.51,96,1655510400,1066.98,False
doodles-official,10.75,13.75,10.75,150,1655596800,1759.8414000000002,False
doodles-official,11.75,19.0,10.001,210,1655683200,2730.1259999999997,False
doodles-official,12.0715,16.68,12.0,114,1655769600,1539.708,False
doodles-official,13.5,75.0,12.95,1158,1655856000,18766.4537934,False
doodles-official,14.0,22.0,14.0,204,1655942400,3245.6598,False
doodles-official,13.5,47.0,13.1,180,1656028800,3029.0699999999997,False
doodles-official,12.805,21.0,12.7,108,1656115200,1545.36,False
doodles-official,11.561,18.0,11.561,96,1656201600,1323.306,False
doodles-official,11.51,22.0,11.25,168,1656288000,2278.476,False
doodles-official,12.19,69.0,11.62,210,1656374400,3632.514,False
doodles-official,13.4155,130.0,12.0,120,1656460800,3130.848,False
doodles-official,11.3009,32.5,4.2,210,1656547200,2999.1054,False
doodles-official,12.8,16.5,12.78,156,1656633600,2228.8199999999997,False
doodles-official,12.568065,42.5,12.4001,108,1656720000,1749.5699999999997,False
doodles-official,11.7,20.0,11.7,90,1656806400,1287.2579999999998,False
doodles-official,11.878045,45.0,11.82,120,1656892800,2012.2746,False
doodles-official,12.6,155.55,12.6,84,1656979200,2534.34,False
doodles-official,11.6,17.0,11.6,54,1657065600,785.3399999999999,False
doodles-official,12.2,60.0,12.2,90,1657152000,1739.8200000000002,False
doodles-official,12.26,55.0,11.5,120,1657238400,1879.98,False
doodles-official,12.4,42.0,12.4,42,1657324800,791.0889,False
doodles-official,12.6,15.88,11.267,180,1657411200,2483.0220000000004,False
doodles-official,12.89,19.69,12.65,132,1657497600,1964.6814,False
doodles-official,13.25,19.0,13.25,84,1657584000,1229.394,False
doodles-official,11.324,20.0,11.324,60,1657670400,887.4180000000001,False
doodles-official,12.2,16.0,12.2,72,1657756800,1013.64,False
doodles-official,13.59,18.0,13.59,36,1657843200,538.38,False
doodles-official,12.3009,18.6,12.3009,42,1657929600,618.8453999999999,False
doodles-official,11.5999069,17.0,11.599734,114,1658016000,1483.5676275,False
doodles-official,11.111,13.89,11.111,66,1658102400,851.46198,False
doodles-official,10.511898,15.5,10.5,102,1658188800,1227.68016,False
doodles-official,10.5001,80.0,10.4,126,1658275200,1951.2492,False
doodles-official,10.12,17.0,10.12,114,1658361600,1311.2412,False
doodles-official,10.124,42.99,10.12,102,1658448000,1403.844,False
doodles-official,10.0,11.7,10.0,42,1658534400,460.2000000000001,False
doodles-official,9.601,11.04,9.601,54,1658620800,561.9000599999999,False
doodles-official,8.88,11.4,8.88,96,1658707200,949.575,False
doodles-official,9.22,10.9,9.22,72,1658793600,719.5613999999999,False
doodles-official,9.28101,14.0,9.05,126,1658880000,1325.66406,False
doodles-official,9.8,12.5,8.8,132,1658966400,1410.4173000000003,False
doodles-official,9.76,14.0,9.76,48,1659052800,528.7788,False
doodles-official,9.031,12.3,9.031,42,1659139200,418.152,False
doodles-official,8.5,12.5,8.5,42,1659225600,440.4018,False
doodles-official,8.691,28.0,8.691,96,1659312000,1086.666,False
doodles-official,9.19,14.0,9.19,42,1659398400,469.62,False
doodles-official,9.0,14.38,9.0,42,1659484800,436.6799999999999,False
doodles-official,9.022,15.0,9.022,36,1659571200,382.512,False
doodles-official,8.7,13.5,8.7,78,1659657600,744.8879999999999,False
doodles-official,8.332450000000001,26.0,8.207,114,1659744000,1168.002,False
doodles-official,8.85,10.0,8.85,36,1659830400,337.32,False
doodles-official,8.11455,11.75,8.11,102,1659916800,945.90629994,False
doodles-official,8.0,9.5,8.0,54,1660003200,469.7999999999999,False
doodles-official,7.8,13.0,2.5,126,1660089600,1090.416,False
doodles-official,7.674469683325951,12.0,7.400299095217,114,1660176000,1014.154194571302,False
doodles-official,6.85482,8.4,6.85482,48,1660262400,368.47632,False
doodles-official,7.095,13.0,7.0,120,1660348800,966.18,False
doodles-official,7.25,9.5,6.5511,126,1660435200,994.8534,False
doodles-official,6.53,25.5,6.3292,150,1660521600,1253.5841999999998,False
doodles-official,6.1809,9.0,6.17,288,1660608000,2023.9998000000005,False
doodles-official,6.35,31.0,5.8,312,1660694400,2670.7492139999995,False
doodles-official,6.9,10.6,6.9,84,1660780800,658.92,False
doodles-official,6.15,8.02,6.002,138,1660867200,967.572,False
doodles-official,6.0,7.88,6.0,96,1660953600,658.8954,False
doodles-official,5.9073,8.4,5.817,108,1661040000,715.3260000000001,False
doodles-official,6.349,13.5,6.29,168,1661126400,1307.5879260000002,False
doodles-official,6.4,8.99,6.4,90,1661212800,686.34,False
doodles-official,6.67,11.69,6.67,84,1661299200,654.87,False
doodles-official,0.22,16.22,0.2,144,1661385600,1046.8740000000005,False
doodles-official,6.92,10.5,6.92,96,1661472000,778.74,False
doodles-official,6.85,12.0,6.85,60,1661558400,473.47407359999994,False
doodles-official,6.9115,8.9,6.9115,78,1661644800,605.78394,False
doodles-official,6.7502,10.0,6.7502,96,1661731200,764.0766,False
doodles-official,7.5,9.88,7.5,84,1661817600,718.7279999999998,False
doodles-official,7.5,9.5,7.5,42,1661904000,345.042,False
doodles-official,7.2125,10.6,7.2125,66,1661990400,536.7306,False
doodles-official,6.77,37.0,6.77,72,1662076800,742.6919999999999,False
doodles-official,7.01,13.5,7.01,36,1662163200,319.134,False
doodles-official,6.75,9.0,6.75,42,1662249600,321.23339999999996,False
doodles-official,7.05,9.5,7.05,54,1662336000,433.494,False
doodles-official,7.0,11.0,7.0,66,1662422400,545.922,False
doodles-official,6.82,27.69,6.82,36,1662508800,381.06,False
doodles-official,7.0,10.0,7.0,54,1662595200,425.4,False
doodles-official,6.5505,10.0,6.5505,66,1662681600,501.417,False
doodles-official,6.6111,8.3,6.6111,54,1662768000,400.9865400000001,False
doodles-official,6.6015,7.15,6.6015,48,1662854400,332.16900000000004,False
doodles-official,6.557725,15.0,6.5565,108,1662940800,855.8400426540284,False
doodles-official,7.1,37.0,6.5,1014,1663027200,8874.975198992131,False
doodles-official,6.650331753554504,8.99,6.4,120,1663113600,886.6998426540283,False
doodles-official,6.2625,12.99,6.25,102,1663200000,741.3,False
doodles-official,6.85,8.95,6.85,78,1663286400,588.3096,False
doodles-official,6.9,14.0,6.9,90,1663372800,717.8561400000001,False
doodles-official,7.6,14.5,7.38,192,1663459200,1645.3109399999998,False
doodles-official,7.8,9.5,7.8,96,1663545600,838.16994,False
doodles-official,8.0,10.1,8.0,36,1663632000,331.08000000000004,False
doodles-official,7.8,8.88,7.8,36,1663718400,294.18,False
doodles-official,7.21,46.5,7.21,54,1663804800,669.3762,False
doodles-official,6.5,12.5,6.5,84,1663891200,700.8210426540285,False
doodles-official,7.031,11.0,7.031,72,1663977600,629.4060000000001,False
doodles-official,7.075,11.0,7.075,36,1664064000,302.31,False
doodles-official,7.1005,9.5,7.1005,66,1664150400,518.064,False
doodles-official,6.5600099044567,21.5,6.5600099044567,78,1664236800,774.8390994267403,False
doodles-official,6.9,19.0,6.9,30,1664323200,303.96000000000004,False
doodles-official,7.0,19.0,7.0,42,1664409600,370.464,False
doodles-official,7.1,20.0,7.0,156,1664496000,1346.0279999999998,False
doodles-official,7.85,14.69,7.85,18,1664582400,183.24,False
doodles-official,7.84,10.0,7.6,126,1664668800,1069.2506666666668,False
doodles-official,7.3001,22.0,7.3001,66,1664755200,642.3006,False
doodles-official,7.5,8.99,7.5,42,1664841600,344.67,False
doodles-official,7.38,11.0,7.38,48,1664928000,400.7009999999999,False
doodles-official,7.5,15.0,7.5,42,1665014400,380.1,False
doodles-official,7.2,14.88,7.2,60,1665100800,497.48166,False
doodles-official,7.5,13.0,7.5,84,1665187200,732.9227999999998,False
doodles-official,7.698475,15.0,7.6,114,1665273600,1010.691,False
doodles-official,7.8,20.0,7.8,30,1665360000,331.1394,False
doodles-official,7.22,10.5,7.22,72,1665446400,601.5215999999999,False
doodles-official,7.3658,23.5,7.3658,36,1665532800,405.6348,False
doodles-official,7.35535,16.0,7.32,108,1665619200,959.1054,False
doodles-official,7.155,9.3,7.155,54,1665705600,416.604,False
doodles-official,6.55,8.49,6.55,72,1665792000,536.8278,False
doodles-official,7.45,13.9,7.45,36,1665878400,329.094,False
doodles-official,9.2,30.0,9.2,18,1665964800,313.2,False
doodles-official,6.9,11.0,6.9,78,1666051200,625.866,False
doodles-official,7.013,9.999999,7.013,48,1666137600,382.817994,False
doodles-official,7.2,17.5,7.2,48,1666224000,448.37999999999994,False
doodles-official,7.33,8.2,7.33,30,1666310400,232.1778,False
doodles-official,7.2501,20.5,7.2501,54,1666396800,490.25340000000006,False
doodles-official,6.968,9.5,6.968,36,1666483200,276.228,False
doodles-official,6.9102,9.2,6.9102,48,1666569600,356.5752,False
doodles-official,6.642200000000001,12.0,6.638,108,1666656000,806.388,False
doodles-official,6.5,10.0,6.5,72,1666742400,515.28,False
doodles-official,6.39,7.44,6.39,60,1666828800,403.11119999999994,False
doodles-official,6.45,7.380999,6.45,66,1666915200,455.696814,False
doodles-official,6.359,19.0,6.359,84,1667001600,732.8802,False
doodles-official,6.363,7.99,6.363,90,1667088000,622.8954,False
doodles-official,6.206932,7.5,6.206932,54,1667174400,359.04139200000003,False
doodles-official,6.0103,12.0,6.0103,90,1667260800,650.6185860000002,False
doodles-official,6.035,9.75,6.035,78,1667347200,539.2985999999999,False
doodles-official,6.0,7.25,6.0,72,1667433600,465.8040000000001,False
doodles-official,6.25,9.1,6.25,60,1667520000,421.0776,False
doodles-official,6.4,7.15,6.4,48,1667606400,325.38,False
doodles-official,6.36,10.8,6.36,48,1667692800,362.229,False
doodles-official,2.3,8.5,2.3,72,1667779200,469.506,False
doodles-official,6.0690349999999995,7.69,6.069,108,1667865600,684.0785999999998,False
doodles-official,5.82,9.7297,5.8,132,1667952000,877.4279999999998,False
doodles-official,5.7675,40.0,5.15,120,1668038400,972.5082,False
doodles-official,5.65225655,9.5,5.651,102,1668124800,641.295786,False
doodles-official,5.55,23.0,5.55,90,1668211200,656.2794,False
doodles-official,5.774,15.0,5.774,66,1668297600,463.58399999999995,False
doodles-official,5.325694373823801,7.77,5.28,114,1668384000,681.546594219912,False
doodles-official,5.39,8.0,5.25,126,1668470400,757.1514,False
doodles-official,5.531,12.0,5.531,96,1668556800,615.4812000000001,False
doodles-official,5.405,8.2,5.405,78,1668643200,488.61,False
doodles-official,5.49,7.5,5.49,90,1668729600,556.1556,False
doodles-official,5.66,8.5,0.123,138,1668816000,830.7,False
doodles-official,5.95,8.0,5.9,162,1668902400,1021.419588,False
doodles-official,6.0981950000000005,8.9,6.0703,108,1668988800,739.1129999999999,False
doodles-official,6.15,50.0,6.15,66,1669075200,803.8506000000001,False
doodles-official,6.23,7.19,6.23,60,1669161600,399.30000000000007,False
