Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,Prediction_Start
mekaverse,1.3,1.8,1.3,24,1641772800,39.60000000000001,False
mekaverse,1.3,10.0,1.3,42,1641859200,139.8,False
mekaverse,1.5,4.5,1.5,12,1641945600,36.0,False
mekaverse,1.2,1.8,1.2,18,1642032000,25.8,False
mekaverse,1.11,1.11,1.11,6,1642204800,6.660000000000001,False
mekaverse,1.11,1.469,1.11,12,1642291200,15.474,False
mekaverse,1.11,1.11,1.11,6,1642377600,6.660000000000001,False
mekaverse,1.11,1.28,1.11,12,1642464000,14.340000000000002,False
mekaverse,1.0,1.1,1.0,18,1642550400,18.81,False
mekaverse,6.2,6.2,6.2,6,1642636800,37.2,False
mekaverse,1.32,1.32,1.32,6,1642723200,7.920000000000001,False
mekaverse,0.9,1.3,0.9,12,1642809600,13.2,False
mekaverse,0.8056,0.8586,0.8056,12,1642896000,9.9852,False
mekaverse,1.3,1.3,1.3,6,1643068800,7.8,False
mekaverse,0.65,1.1,0.65,24,1643155200,22.3206,False
mekaverse,0.999,1.9,0.999,24,1643241600,31.794000000000004,False
mekaverse,1.1,1.1,1.1,6,1643328000,6.6,False
mekaverse,1.09,10.0,1.09,12,1643414400,66.54,False
mekaverse,0.82,1.1,0.82,24,1643500800,24.419999999999995,False
mekaverse,1.5,1.5,1.5,6,1643587200,9.0,False
mekaverse,0.9001,1.08,0.9001,12,1643673600,11.8806,False
mekaverse,0.82,0.85,0.82,18,1643760000,15.102,False
mekaverse,0.74,0.80001,0.74,12,1643932800,9.24006,False
mekaverse,0.85,1.0,0.85,30,1644019200,27.0,False
mekaverse,0.705001,0.8,0.705001,18,1644105600,13.266006,False
mekaverse,1.0,1.28,0.71,396,1644364800,431.81220000000013,False
mekaverse,1.088,1.5,1.01,240,1644451200,310.7994,False
mekaverse,0.96,1.02,0.96,30,1644537600,29.94,False
mekaverse,0.89,0.89,0.89,6,1644796800,5.34,False
mekaverse,1.1,1.1,1.1,6,1644883200,6.6,False
mekaverse,0.88,0.88,0.88,6,1645056000,5.28,False
mekaverse,3.0,3.0,3.0,12,1645228800,36.0,False
mekaverse,0.71,0.89,0.71,60,1645315200,47.250066,False
mekaverse,0.813,0.975,0.813,18,1645401600,16.427999999999997,False
mekaverse,5.5,5.5,5.5,6,1645488000,33.0,False
mekaverse,1.5,1.5,1.5,6,1645574400,9.0,False
mekaverse,0.765,0.765,0.765,6,1645660800,4.59,False
mekaverse,0.85,1.33,0.85,36,1645747200,39.1134,False
mekaverse,0.58,0.6720001,0.58,48,1646611200,30.94200066,False
mekaverse,0.5200002,1.0,0.5200002,90,1646697600,55.67640126,False
mekaverse,0.51,0.62,0.51,54,1646784000,30.594001799999997,False
mekaverse,0.50120002,1.3,0.50120002,30,1646870400,23.143200119999996,False
mekaverse,0.5600001,1.15,0.5600001,66,1646956800,44.023800599999994,False
mekaverse,0.577,0.75,0.577,36,1647043200,23.435999999999996,False
mekaverse,0.56,0.7,0.56,54,1647129600,33.513600600000004,False
mekaverse,0.546,0.999,0.546,24,1647216000,16.392000000000003,False
mekaverse,0.515,0.64,0.515,36,1647302400,20.346,False
mekaverse,0.517,0.59,0.517,36,1647388800,19.716,False
mekaverse,0.52,0.649,0.52,60,1647475200,35.7474,False
mekaverse,0.56,0.8,0.56,36,1647561600,24.1794,False
mekaverse,0.52905,0.75,0.5281,120,1647648000,74.94120006,False
mekaverse,0.5,0.8,0.5,42,1647734400,24.852,False
mekaverse,0.521,0.62,0.521,18,1647820800,10.386,False
mekaverse,0.5207,0.58,0.5207,18,1647907200,9.7284,False
mekaverse,0.53,0.744,0.53,30,1647993600,17.49000600606,False
mekaverse,0.699,0.699,0.699,6,1648166400,4.194,False
mekaverse,0.456,0.456,0.456,6,1648252800,2.736,False
mekaverse,0.6892345,2.0,0.6892345,72,1648771200,108.535407,False
mekaverse,1.2,1.6,1.2,48,1648857600,70.32,False
mekaverse,30.0,30.0,30.0,6,1648944000,180.0,False
mekaverse,0.31,1.5,0.31,60,1649030400,75.36,False
mekaverse,0.25,1.0,0.25,66,1649116800,61.5,False
mekaverse,0.39,1.222,0.316,378,1649203200,271.55606666666665,False
mekaverse,0.8,0.8,0.8,18,1649289600,14.4,False
mekaverse,0.5001,0.5001,0.5001,6,1649462400,3.0005999999999995,False
mekaverse,0.54,0.54,0.54,6,1649635200,3.24,False
mekaverse,0.55,0.55,0.55,6,1649721600,3.3,False
mekaverse,0.375,0.3952,0.375,12,1649894400,4.6212,False
mekaverse,0.53,0.53,0.53,6,1649980800,3.1800000000000006,False
mekaverse,0.39,0.439,0.39,12,1650326400,4.974,False
mekaverse,0.35,0.8,0.35,12,1650585600,6.9,False
mekaverse,0.271,0.28,0.271,12,1651104000,3.306,False
mekaverse,0.27,0.3,0.27,12,1651190400,3.42,False
mekaverse,0.245,0.245,0.245,6,1651276800,1.4700000000000002,False
mekaverse,0.235,0.321,0.235,12,1651622400,3.3359999999999994,False
mekaverse,0.29,0.29,0.29,6,1652140800,1.74,False
mekaverse,0.21,0.21,0.21,6,1652400000,1.26,False
mekaverse,0.2,0.205,0.2,12,1652486400,2.4299999999999997,False
mekaverse,0.27,0.27,0.27,6,1652572800,1.62,False
mekaverse,0.1528,0.1528,0.1528,6,1652918400,0.9168,False
mekaverse,0.229,0.229,0.229,6,1653004800,1.374,False
mekaverse,0.27,0.27,0.27,6,1653091200,1.62,False
mekaverse,0.1318,0.1318,0.1318,6,1653177600,0.7908000000000001,False
mekaverse,0.24,0.24,0.24,6,1653436800,1.44,False
mekaverse,0.151,0.177,0.151,12,1653609600,1.968,False
mekaverse,0.215,0.215,0.215,6,1653696000,1.29,False
mekaverse,0.1799,0.1799,0.1799,6,1653782400,1.0794,False
mekaverse,0.21,0.215,0.21,36,1653868800,7.679999999999997,False
mekaverse,0.18,0.18,0.18,6,1654041600,1.0799999999999998,False
mekaverse,0.1346,0.1999,0.1346,12,1654214400,2.007,False
mekaverse,0.165,0.34,0.165,12,1654300800,3.03,False
mekaverse,0.245,0.245,0.245,6,1654387200,1.4700000000000002,False
mekaverse,0.25,0.25,0.25,6,1654473600,1.5,False
mekaverse,0.22,0.22,0.22,6,1654732800,1.32,False
mekaverse,0.2,0.2,0.2,6,1654819200,1.2,False
mekaverse,0.2,0.2,0.2,6,1655078400,1.2,False
mekaverse,0.2,0.229,0.2,18,1655251200,3.876,False
mekaverse,0.24,0.24,0.24,6,1655337600,1.44,False
mekaverse,0.202,0.55,0.202,90,1655424000,27.558,False
mekaverse,0.28,0.35,0.28,48,1655510400,14.951999999999998,False
mekaverse,0.341,1.69,0.2757,156,1655596800,78.86760000000001,False
mekaverse,0.421,0.867,0.4201,126,1655683200,67.28939994000001,False
mekaverse,0.43051,0.99,0.4212,156,1655769600,84.52506593999999,False
mekaverse,0.36610101,0.66,0.046,192,1655856000,85.66140605999999,False
mekaverse,0.33,0.71,0.33,30,1655942400,13.3554,False
mekaverse,0.3,0.4,0.3,30,1656028800,10.002,False
mekaverse,0.33,0.42,0.33,42,1656115200,15.625799999999998,False
mekaverse,0.3,0.3,0.3,6,1656201600,1.8,False
mekaverse,0.0999,0.401,0.0999,36,1656288000,11.417399999999995,False
mekaverse,0.3,1.75,0.3,30,1656374400,17.9123302416,False
mekaverse,0.3,0.5,0.3,24,1656460800,8.88,False
mekaverse,0.2504,0.45,0.2504,42,1656547200,13.158,False
mekaverse,0.2637,0.39,0.2637,48,1656633600,15.55326,False
mekaverse,0.2758,0.4,0.2758,12,1656720000,4.0548,False
mekaverse,0.2768,0.6,0.2768,42,1656806400,16.6728,False
mekaverse,0.249,0.888,0.249,60,1656892800,21.0828,False
mekaverse,0.291,0.37,0.291,30,1656979200,9.966,False
mekaverse,0.31,0.98,0.31,48,1657065600,23.988000000000003,False
mekaverse,0.2881,0.5,0.2881,30,1657152000,10.797,False
mekaverse,0.27571,0.27571,0.27571,6,1657238400,1.6542600000000005,False
mekaverse,0.25,0.48,0.25,48,1657324800,15.03846,False
mekaverse,0.26,1.0,0.26,24,1657411200,12.3564,False
mekaverse,0.26,0.5,0.26,30,1657497600,11.0994,False
mekaverse,0.298,0.38,0.298,42,1657584000,14.268,False
mekaverse,0.3072,0.65,0.3072,48,1657670400,18.2292,False
mekaverse,0.2902,0.35,0.2902,18,1657756800,5.635260000000001,False
mekaverse,0.25,0.6,0.25,30,1657843200,13.14,False
mekaverse,0.3226,0.34,0.3226,18,1657929600,5.9124,False
mekaverse,0.3,0.3,0.3,6,1658016000,1.8,False
mekaverse,0.2784,0.5,0.2784,42,1658102400,14.8464,False
mekaverse,0.305,0.395,0.305,30,1658188800,10.1709,False
mekaverse,0.2871,1.0,0.2871,48,1658275200,19.954199999999997,False
mekaverse,0.240791,1.3,0.240791,54,1658361600,26.116746,False
mekaverse,0.201,0.395,0.201,60,1658448000,19.494000000000003,False
mekaverse,0.256,0.49,0.256,54,1658534400,17.975400000000004,False
mekaverse,0.26,0.6,0.26,24,1658620800,9.4134,False
mekaverse,0.55,0.55,0.55,6,1658707200,3.3,False
mekaverse,0.29,0.66,0.29,66,1658793600,27.557994000000004,False
mekaverse,0.253,0.55,0.253,42,1658880000,15.8547,False
mekaverse,0.295,0.45,0.295,42,1658966400,14.5899996,False
mekaverse,0.35,0.64,0.35,48,1659052800,21.234,False
mekaverse,0.3072,0.5,0.3072,36,1659139200,14.1276,False
mekaverse,0.324665,0.5,0.324,120,1659225600,46.0716,False
mekaverse,0.2927,0.5,0.2927,66,1659312000,24.524399999999996,False
mekaverse,0.295,0.3098,0.295,12,1659398400,3.6288,False
mekaverse,0.29,0.399,0.29,12,1659571200,4.134,False
mekaverse,0.27,0.59,0.27,42,1659744000,16.260042000000002,False
mekaverse,0.2401,0.5,0.2401,54,1659830400,16.6026,False
mekaverse,0.2502,0.759,0.2502,36,1659916800,14.0592,False
mekaverse,0.28,0.284,0.28,12,1660003200,3.3840000000000003,False
mekaverse,0.24,0.241,0.24,12,1660089600,2.886,False
mekaverse,0.235,2.4,0.235,30,1660176000,20.34,False
mekaverse,0.2,0.88,0.2,60,1660262400,22.673399999999997,False
mekaverse,0.23,0.33,0.23,18,1660348800,5.340000000000001,False
mekaverse,0.1812,2.5,0.1812,42,1660435200,58.8672,False
mekaverse,0.1711,0.3,0.1711,36,1660521600,7.6866,False
mekaverse,0.17,0.22,0.17,30,1660608000,6.044447290640395,False
mekaverse,0.17925,0.35,0.17925,48,1660694400,10.5657,False
mekaverse,0.172,0.55,0.172,30,1660780800,7.468799999999999,False
mekaverse,0.1604,0.2,0.1604,36,1660867200,6.361800000000001,False
mekaverse,0.1401,0.1709,0.1401,60,1660953600,8.870913974881274,False
mekaverse,0.18,0.5,0.18,24,1661040000,6.5274,False
mekaverse,0.1799,0.222,0.1799,48,1661126400,9.9693513337847,False
mekaverse,0.2041891006007458,0.41,0.2041891006007458,54,1661212800,13.421934603604477,False
mekaverse,0.205,0.49,0.205,36,1661299200,10.5255,False
mekaverse,0.2329,1.0,0.2329,18,1661385600,9.0168,False
mekaverse,0.189,0.3,0.189,24,1661472000,5.895816,False
mekaverse,0.2001,0.2001,0.2001,6,1661558400,1.2006,False
mekaverse,0.2031,0.88,0.2031,36,1661644800,13.458000000000002,False
mekaverse,0.219,0.2999,0.219,12,1661731200,3.1134000000000004,False
mekaverse,0.2466,0.4,0.2466,12,1661817600,3.8796,False
mekaverse,0.1818,0.28,0.1818,18,1661904000,4.2588,False
mekaverse,0.22,0.245,0.22,12,1661990400,2.79,False
mekaverse,0.3699,0.3699,0.3699,6,1662076800,2.2194,False
mekaverse,0.1763,0.42,0.1763,24,1662163200,6.0978,False
mekaverse,0.21,0.27,0.21,24,1662249600,5.58,False
mekaverse,0.1751,0.3,0.1751,42,1662336000,9.46093568043331,False
mekaverse,0.1668,0.2,0.1668,36,1662422400,6.9030000000000005,False
mekaverse,0.22,0.22,0.22,6,1662508800,1.32,False
mekaverse,0.18004999,0.2048,0.18004999,18,1662595200,3.50909994,False
mekaverse,0.2,0.5,0.2,54,1662681600,14.706,False
mekaverse,0.23,0.23,0.23,6,1662854400,1.38,False
mekaverse,0.19,0.295,0.19,24,1662940800,5.560329219460296,False
mekaverse,0.245,0.3,0.245,12,1663027200,3.2700000000000005,False
mekaverse,0.162,0.23,0.162,84,1663113600,16.54746,False
mekaverse,0.23,0.26,0.23,18,1663200000,4.4399999999999995,False
mekaverse,0.1775,0.25,0.1775,30,1663286400,6.1584,False
mekaverse,0.176,0.29999,0.176,18,1663372800,4.05594,False
mekaverse,0.176,0.3131,0.176,42,1663459200,9.180649208037988,False
mekaverse,0.2,0.31,0.2,24,1663545600,5.766,False
mekaverse,0.18,0.3,0.18,12,1663632000,2.88,False
mekaverse,0.19,0.8888,0.19,24,1663718400,9.2208,False
mekaverse,0.177,0.4,0.177,12,1663804800,3.4619999999999997,False
mekaverse,0.195,0.4,0.195,36,1663891200,10.764,False
mekaverse,0.22,0.498,0.22,18,1663977600,7.158000000000001,False
mekaverse,0.2,0.8,0.2,54,1664064000,18.207024000000004,False
mekaverse,0.2,0.2,0.2,6,1664150400,1.2,False
mekaverse,0.2,1.0,0.2,42,1664236800,20.01,False
mekaverse,0.1951,0.44,0.1951,30,1664323200,8.5206,False
mekaverse,0.1757,0.45,0.1757,42,1664409600,10.7286,False
mekaverse,0.1747,0.24,0.1747,60,1664496000,12.024073066152663,False
mekaverse,0.2073210236475542,0.2888,0.2073210236475542,12,1664582400,2.9767261418853255,False
mekaverse,0.22,0.35,0.22,18,1664668800,5.219999999999999,False
mekaverse,0.216051,0.4,0.216051,66,1664755200,21.180305999999995,False
mekaverse,0.2354218009478673,1.25,0.2269194312796209,114,1664841600,52.944116587677726,False
mekaverse,0.33,0.5,0.33,24,1664928000,10.194,False
mekaverse,0.1,0.466,0.1,24,1665014400,7.599,False
