Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,Prediction_Start
otherdeed,5.22,50.0,0.01,16956,1651363200,128915.7849173194,False
otherdeed,3.9,149.75,2.9,6330,1651449600,43868.61823314668,False
otherdeed,3.58,158.0,3.4,3570,1651536000,24663.27935957521,False
otherdeed,3.349,55.28,3.191,3300,1651622400,26296.019189934,False
otherdeed,3.4,145.0,0.6479,3162,1651708800,17068.844418000008,False
otherdeed,3.199,155.0,3.0,2256,1651795200,16767.52926042,False
otherdeed,3.3,214.39,3.2,2568,1651881600,39415.802809199995,False
otherdeed,3.2030001,625.0,3.0,1770,1651968000,20167.21442693999,False
otherdeed,2.5,24.3,2.36,3186,1652054400,10914.4698798,False
otherdeed,2.742,27.0,2.501,3378,1652140800,12077.281201200003,False
otherdeed,2.64,33.0,0.005,2670,1652227200,8838.019576661998,False
otherdeed,2.6,604.6899999999999,2.39,3852,1652313600,17125.68119998801,False
otherdeed,2.8,32.5,2.725,1158,1652400000,4641.209879999999,False
otherdeed,2.19,19.68,2.1,1044,1652486400,3718.2987107815497,False
otherdeed,2.824,20.0,2.711,642,1652572800,2328.0317999999997,False
otherdeed,2.834,130.0,2.6,642,1652659200,10575.66348,False
otherdeed,2.898,165.0,2.6727633749999993,1044,1652745600,5316.78517425,False
otherdeed,3.08,72.0,3.02,2466,1652832000,24498.37292999941,False
otherdeed,3.05,175.0,2.99,1038,1652918400,6650.0106,False
otherdeed,3.109,32.0,2.95,1416,1653004800,10072.656599999997,False
otherdeed,3.121,30.0,3.082,882,1653091200,3893.1702599999994,False
otherdeed,3.104200035,230.0,3.0,468,1653177600,3790.0320006,False
otherdeed,3.139,27.89,2.9984175000000004,678,1653264000,3282.1669049999996,False
otherdeed,2.999,21.4,2.9000001,642,1653350400,2486.4474006600003,False
otherdeed,2.886,9.99,2.875,528,1653436800,1842.11838,False
otherdeed,2.7,18.0,2.39,546,1653523200,1872.3006001199997,False
otherdeed,2.666,19.0,2.61111,576,1653609600,2054.55606,False
otherdeed,2.77615,24.0,2.75,474,1653696000,1756.48806,False
otherdeed,2.62825,5.0,2.62,354,1653782400,1046.46,False
otherdeed,2.749,24.0,2.7,408,1653868800,1708.1459999999995,False
otherdeed,2.8,22.99,2.7,444,1653955200,1664.3867400000004,False
otherdeed,2.85,19.95,0.001,696,1654041600,2320.5685794,False
otherdeed,2.8130998,6.13,2.76,330,1654128000,1027.4850537000002,False
otherdeed,2.7878499999999997,23.5,2.774,480,1654214400,1913.8301976000005,False
otherdeed,2.8007,20.0,2.8,342,1654300800,1418.0982599999995,False
otherdeed,2.75,18.5,2.75,312,1654387200,1294.1117988,False
otherdeed,2.698,18.05,2.5,300,1654473600,984.8958005999998,False
otherdeed,2.55665,18.39,0.45,480,1654560000,1766.0664006,False
otherdeed,2.505,19.8,2.5,372,1654646400,1252.2818999999945,False
otherdeed,2.4661,24.49,2.2882,258,1654732800,1175.2998,False
otherdeed,2.3001,26.0,2.28,378,1654819200,2354.6256,False
otherdeed,2.201,18.5,2.13,402,1654905600,1442.8187401199998,False
otherdeed,1.93773,15.95,1.9,468,1654992000,1228.47360018,False
