Collection,Params1,Params2,Model,test_rmse,test_mae,train_rmse,train_mae,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,Kolmogorov_PValue
azuki,FloorEthPrice,FloorEthPrice_VolumeInEth,GRU_MODEL,1.6174457409638292,0.6949360170855459,1.9509556134279784,1.2223777169443737,0.0434,0.0,0.0752,0.0754,0.0232
azuki,FloorEthPrice,FloorEthPrice_Sales,GRU_MODEL,1.6174457409638292,0.6949360170855459,1.9509556134279784,1.2223777169443737,0.4798,0.0013,0.4833,0.4842,0.9502
azuki,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,1.6174457409638292,0.6949360170855459,1.9509556134279784,1.2223777169443737,0.0365,0.0,0.0613,0.0615,0.0232
azuki,FloorEthPrice_VolumeInEth,FloorEthPrice,GRU_MODEL,1.69305542053503,0.7592707771331461,1.874866686356328,1.1259352001933256,0.0434,0.0,0.0752,0.0754,0.0232
azuki,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,GRU_MODEL,1.69305542053503,0.7592707771331461,1.874866686356328,1.1259352001933256,0.1414,0.0,0.2645,0.2651,0.036
azuki,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,1.69305542053503,0.7592707771331461,1.874866686356328,1.1259352001933256,0.8951,0.5939,0.9932,0.9943,0.9992
azuki,FloorEthPrice_Sales,FloorEthPrice,GRU_MODEL,1.6361464584870948,0.7489314725822652,1.98824699503061,1.2341239299928608,0.4798,0.0013,0.4833,0.4842,0.9502
azuki,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,1.6361464584870948,0.7489314725822652,1.98824699503061,1.2341239299928608,0.1414,0.0,0.2645,0.2651,0.036
azuki,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,1.6361464584870948,0.7489314725822652,1.98824699503061,1.2341239299928608,0.1296,0.0,0.2317,0.2323,0.0544
azuki,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,GRU_MODEL,1.6498576502498328,0.7078182874952095,1.9271276735087848,1.1588313051851806,0.0365,0.0,0.0613,0.0615,0.0232
azuki,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,1.6498576502498328,0.7078182874952095,1.9271276735087848,1.1588313051851806,0.8951,0.5939,0.9932,0.9943,0.9992
azuki,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,GRU_MODEL,1.6498576502498328,0.7078182874952095,1.9271276735087848,1.1588313051851806,0.1296,0.0,0.2317,0.2323,0.0544
azuki,FloorEthPrice,FloorEthPrice_VolumeInEth,LSTM_MODEL,1.6456877053651529,0.7783947592391374,2.193195542543539,1.3086329333628297,0.0001,0.0,0.0001,0.0001,0.0001
azuki,FloorEthPrice,FloorEthPrice_Sales,LSTM_MODEL,1.6456877053651529,0.7783947592391374,2.193195542543539,1.3086329333628297,0.0521,0.0,0.0638,0.064,0.0805
azuki,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,1.6456877053651529,0.7783947592391374,2.193195542543539,1.3086329333628297,0.0011,0.0,0.0007,0.0007,0.0032
azuki,FloorEthPrice_VolumeInEth,FloorEthPrice,LSTM_MODEL,1.6239045863372357,0.7008814872615539,2.2481147357057347,1.3481675975937306,0.0001,0.0,0.0001,0.0001,0.0001
azuki,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,LSTM_MODEL,1.6239045863372357,0.7008814872615539,2.2481147357057347,1.3481675975937306,0.0236,0.0,0.0199,0.0199,0.0544
azuki,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,1.6239045863372357,0.7008814872615539,2.2481147357057347,1.3481675975937306,0.5186,0.7828,0.4923,0.4932,0.306
azuki,FloorEthPrice_Sales,FloorEthPrice,LSTM_MODEL,1.6403675780974487,0.7094023037752512,1.8664594957507263,1.1233366781523848,0.0521,0.0,0.0638,0.064,0.0805
azuki,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,1.6403675780974487,0.7094023037752512,1.8664594957507263,1.1233366781523848,0.0236,0.0,0.0199,0.0199,0.0544
azuki,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,1.6403675780974487,0.7094023037752512,1.8664594957507263,1.1233366781523848,0.1328,0.0,0.1123,0.1127,0.306
azuki,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,LSTM_MODEL,1.6238283979229484,0.6821046692530093,1.8796242882259944,1.1294100735626669,0.0011,0.0,0.0007,0.0007,0.0032
azuki,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,1.6238283979229484,0.6821046692530093,1.8796242882259944,1.1294100735626669,0.5186,0.7828,0.4923,0.4932,0.306
azuki,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,LSTM_MODEL,1.6238283979229484,0.6821046692530093,1.8796242882259944,1.1294100735626669,0.1328,0.0,0.1123,0.1127,0.306
