Collection,Params1,Params2,Model,test_rmse,test_mae,train_rmse,train_mae,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,Kolmogorov_PValue
boredapeyachtclub,FloorEthPrice,FloorEthPrice_VolumeInEth,GRU_MODEL,8.699055711101453,3.919933760298982,13.41833531426288,7.547528168676363,0.2952,0.0,0.3958,0.3966,0.3883
boredapeyachtclub,FloorEthPrice,FloorEthPrice_Sales,GRU_MODEL,8.699055711101453,3.919933760298982,13.41833531426288,7.547528168676363,0.5414,0.0,0.6508,0.6518,0.8631
boredapeyachtclub,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,8.699055711101453,3.919933760298982,13.41833531426288,7.547528168676363,0.2978,0.0,0.3452,0.346,0.4999
boredapeyachtclub,FloorEthPrice_VolumeInEth,FloorEthPrice,GRU_MODEL,8.876632875923127,4.441635556378705,13.54150181242324,7.721473177858491,0.2952,0.0,0.3958,0.3966,0.3883
boredapeyachtclub,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,GRU_MODEL,8.876632875923127,4.441635556378705,13.54150181242324,7.721473177858491,0.5228,0.0,0.6701,0.6711,0.7499
boredapeyachtclub,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,8.876632875923127,4.441635556378705,13.54150181242324,7.721473177858491,0.8153,0.371,0.9717,0.9729,0.9455
boredapeyachtclub,FloorEthPrice_Sales,FloorEthPrice,GRU_MODEL,8.70069591630845,3.951915971833482,13.566375056171308,7.677682780710359,0.5414,0.0,0.6508,0.6518,0.8631
boredapeyachtclub,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,8.70069591630845,3.951915971833482,13.566375056171308,7.677682780710359,0.5228,0.0,0.6701,0.6711,0.7499
boredapeyachtclub,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,8.70069591630845,3.951915971833482,13.566375056171308,7.677682780710359,0.5268,0.0005,0.6212,0.6223,0.8631
boredapeyachtclub,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,GRU_MODEL,8.721126050889348,4.063462337547119,13.474958402437288,7.492653912478084,0.2978,0.0,0.3452,0.346,0.4999
boredapeyachtclub,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,8.721126050889348,4.063462337547119,13.474958402437288,7.492653912478084,0.8153,0.371,0.9717,0.9729,0.9455
boredapeyachtclub,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,GRU_MODEL,8.721126050889348,4.063462337547119,13.474958402437288,7.492653912478084,0.5268,0.0005,0.6212,0.6223,0.8631
boredapeyachtclub,FloorEthPrice,FloorEthPrice_VolumeInEth,LSTM_MODEL,8.547254923030946,4.148270286510807,13.673842546340095,8.003491256139743,0.5067,0.0,0.5402,0.5412,0.9455
boredapeyachtclub,FloorEthPrice,FloorEthPrice_Sales,LSTM_MODEL,8.547254923030946,4.148270286510807,13.673842546340095,8.003491256139743,0.5021,0.0,0.6917,0.6928,0.6237
boredapeyachtclub,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,8.547254923030946,4.148270286510807,13.673842546340095,8.003491256139743,0.7021,0.0109,0.8988,0.8999,0.999
boredapeyachtclub,FloorEthPrice_VolumeInEth,FloorEthPrice,LSTM_MODEL,8.721702778088952,4.548251995530728,13.8916114707119,8.407402334076318,0.5067,0.0,0.5402,0.5412,0.9455
boredapeyachtclub,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,LSTM_MODEL,8.721702778088952,4.548251995530728,13.8916114707119,8.407402334076318,0.6735,0.0151,0.8661,0.8672,0.9455
boredapeyachtclub,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,8.721702778088952,4.548251995530728,13.8916114707119,8.407402334076318,0.5123,0.0004,0.5923,0.5933,0.8631
boredapeyachtclub,FloorEthPrice_Sales,FloorEthPrice,LSTM_MODEL,8.496214454959862,4.070110003278205,14.017108060302805,8.453909347395484,0.5021,0.0,0.6917,0.6928,0.6237
boredapeyachtclub,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,8.496214454959862,4.070110003278205,14.017108060302805,8.453909347395484,0.6735,0.0151,0.8661,0.8672,0.9455
boredapeyachtclub,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,8.496214454959862,4.070110003278205,14.017108060302805,8.453909347395484,0.5457,0.0,0.7159,0.717,0.7499
boredapeyachtclub,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,LSTM_MODEL,8.457727202249844,3.9064702089263665,13.64872054093392,7.938930979562397,0.7021,0.0109,0.8988,0.8999,0.999
boredapeyachtclub,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,8.457727202249844,3.9064702089263665,13.64872054093392,7.938930979562397,0.5123,0.0004,0.5923,0.5933,0.8631
boredapeyachtclub,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,LSTM_MODEL,8.457727202249844,3.9064702089263665,13.64872054093392,7.938930979562397,0.5457,0.0,0.7159,0.717,0.7499
