Collection,Params1,Params2,Model,test_rmse,test_mae,train_rmse,train_mae,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,Kolmogorov_PValue
clonex,FloorEthPrice,FloorEthPrice_VolumeInEth,GRU_MODEL,0.3777283866524797,0.1928756217867639,2.241652142772318,0.9987865322393896,0.0634,0.0375,0.1036,0.1039,0.0085
clonex,FloorEthPrice,FloorEthPrice_Sales,GRU_MODEL,0.3777283866524797,0.1928756217867639,2.241652142772318,0.9987865322393896,0.0094,0.0,0.0162,0.0163,0.0051
clonex,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.3777283866524797,0.1928756217867639,2.241652142772318,0.9987865322393896,0.7254,0.2997,0.9849,0.9861,0.6308
clonex,FloorEthPrice_VolumeInEth,FloorEthPrice,GRU_MODEL,0.4477168641707197,0.2470104132810905,2.3788645225420684,1.197759471720035,0.0634,0.0375,0.1036,0.1039,0.0085
clonex,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,GRU_MODEL,0.4477168641707197,0.2470104132810905,2.3788645225420684,1.197759471720035,0.2021,0.0,0.2062,0.2067,0.3953
clonex,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.4477168641707197,0.2470104132810905,2.3788645225420684,1.197759471720035,0.0433,0.0001,0.0604,0.0606,0.0522
clonex,FloorEthPrice_Sales,FloorEthPrice,GRU_MODEL,0.4417226325533311,0.2414271470833394,2.238686141672994,0.9887378438865864,0.0094,0.0,0.0162,0.0163,0.0051
clonex,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,0.4417226325533311,0.2414271470833394,2.238686141672994,0.9887378438865864,0.2021,0.0,0.2062,0.2067,0.3953
clonex,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.4417226325533311,0.2414271470833394,2.238686141672994,0.9887378438865864,0.0025,0.0,0.0041,0.0041,0.0017
clonex,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,GRU_MODEL,0.3794831515850449,0.1857472633427236,2.570845184914012,1.4169642913382183,0.7254,0.2997,0.9849,0.9861,0.6308
clonex,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,0.3794831515850449,0.1857472633427236,2.570845184914012,1.4169642913382183,0.0433,0.0001,0.0604,0.0606,0.0522
clonex,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,GRU_MODEL,0.3794831515850449,0.1857472633427236,2.570845184914012,1.4169642913382183,0.0025,0.0,0.0041,0.0041,0.0017
clonex,FloorEthPrice,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.3735107109512787,0.1886497567908717,2.2974980986866895,1.0841269319085705,0.0748,0.0,0.1106,0.1109,0.0776
clonex,FloorEthPrice,FloorEthPrice_Sales,LSTM_MODEL,0.3735107109512787,0.1886497567908717,2.2974980986866895,1.0841269319085705,0.0549,0.0033,0.1011,0.1014,0.0138
clonex,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.3735107109512787,0.1886497567908717,2.2974980986866895,1.0841269319085705,0.2672,0.0005,0.4229,0.4237,0.2216
clonex,FloorEthPrice_VolumeInEth,FloorEthPrice,LSTM_MODEL,0.4670559962241545,0.2607634071963055,2.5964205288677764,1.4555224594720155,0.0748,0.0,0.1106,0.1109,0.0776
clonex,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,LSTM_MODEL,0.4670559962241545,0.2607634071963055,2.5964205288677764,1.4555224594720155,0.5926,0.2649,0.7369,0.738,0.6308
clonex,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.4670559962241545,0.2607634071963055,2.5964205288677764,1.4555224594720155,0.0413,0.0,0.0261,0.0262,0.1127
clonex,FloorEthPrice_Sales,FloorEthPrice,LSTM_MODEL,0.4652526014300641,0.2696605569794507,2.353671550955196,1.1430150183532326,0.0549,0.0033,0.1011,0.1014,0.0138
clonex,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.4652526014300641,0.2696605569794507,2.353671550955196,1.1430150183532326,0.5926,0.2649,0.7369,0.738,0.6308
clonex,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.4652526014300641,0.2696605569794507,2.353671550955196,1.1430150183532326,0.0047,0.0,0.0085,0.0085,0.0017
clonex,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,LSTM_MODEL,0.4109300653771159,0.2363464807977624,2.3559520346841465,1.1918346751398206,0.2672,0.0005,0.4229,0.4237,0.2216
clonex,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.4109300653771159,0.2363464807977624,2.3559520346841465,1.1918346751398206,0.0413,0.0,0.0261,0.0262,0.1127
clonex,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,LSTM_MODEL,0.4109300653771159,0.2363464807977624,2.3559520346841465,1.1918346751398206,0.0047,0.0,0.0085,0.0085,0.0017
