Collection,Params1,Params2,Model,test_rmse,test_mae,train_rmse,train_mae,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,Kolmogorov_PValue
doodles-official,FloorEthPrice,FloorEthPrice_VolumeInEth,GRU_MODEL,0.1671990733823722,0.1184312918119966,1.1612142563980343,0.6955543223372324,0.5809,0.4577,0.7347,0.7358,0.3953
doodles-official,FloorEthPrice,FloorEthPrice_Sales,GRU_MODEL,0.1671990733823722,0.1184312918119966,1.1612142563980343,0.6955543223372324,0.2586,0.0,0.2633,0.2639,0.5072
doodles-official,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.1671990733823722,0.1184312918119966,1.1612142563980343,0.6955543223372324,0.3583,0.3415,0.5193,0.5203,0.0522
doodles-official,FloorEthPrice_VolumeInEth,FloorEthPrice,GRU_MODEL,0.2087884571973469,0.1554079352690369,1.1243806100616511,0.7022571233613312,0.5809,0.4577,0.7347,0.7358,0.3953
doodles-official,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,GRU_MODEL,0.2087884571973469,0.1554079352690369,1.1243806100616511,0.7022571233613312,0.0697,0.0,0.1132,0.1135,0.0522
doodles-official,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.2087884571973469,0.1554079352690369,1.1243806100616511,0.7022571233613312,0.4409,0.4528,0.5441,0.5451,0.2216
doodles-official,FloorEthPrice_Sales,FloorEthPrice,GRU_MODEL,0.2259868693908437,0.1751458840004755,1.1432680899400385,0.6976372458606038,0.2586,0.0,0.2633,0.2639,0.5072
doodles-official,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,0.2259868693908437,0.1751458840004755,1.1432680899400385,0.6976372458606038,0.0697,0.0,0.1132,0.1135,0.0522
doodles-official,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.2259868693908437,0.1751458840004755,1.1432680899400385,0.6976372458606038,0.0292,0.0102,0.0529,0.053,0.0005
doodles-official,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,GRU_MODEL,0.2150971340074138,0.1647306183516148,1.1432829034636371,0.7128060640652805,0.3583,0.3415,0.5193,0.5203,0.0522
doodles-official,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,0.2150971340074138,0.1647306183516148,1.1432829034636371,0.7128060640652805,0.4409,0.4528,0.5441,0.5451,0.2216
doodles-official,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,GRU_MODEL,0.2150971340074138,0.1647306183516148,1.1432829034636371,0.7128060640652805,0.0292,0.0102,0.0529,0.053,0.0005
doodles-official,FloorEthPrice,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.1767196408531994,0.1240486446901814,1.198375843844136,0.7173385718741886,0.0003,0.0,0.0006,0.0006,0.0
doodles-official,FloorEthPrice,FloorEthPrice_Sales,LSTM_MODEL,0.1767196408531994,0.1240486446901814,1.198375843844136,0.7173385718741886,0.0495,0.0996,0.0491,0.0492,0.0001
doodles-official,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.1767196408531994,0.1240486446901814,1.198375843844136,0.7173385718741886,0.0027,0.0,0.0051,0.0051,0.0005
doodles-official,FloorEthPrice_VolumeInEth,FloorEthPrice,LSTM_MODEL,0.4520853984262497,0.3775289321893896,1.4749911217968477,0.9207382221635414,0.0003,0.0,0.0006,0.0006,0.0
doodles-official,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,LSTM_MODEL,0.4520853984262497,0.3775289321893896,1.4749911217968477,0.9207382221635414,0.0002,0.0,0.0004,0.0004,0.0
doodles-official,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.4520853984262497,0.3775289321893896,1.4749911217968477,0.9207382221635414,0.287,0.4627,0.3422,0.3429,0.0001
doodles-official,FloorEthPrice_Sales,FloorEthPrice,LSTM_MODEL,0.4347966415363128,0.3540748170988184,1.426405689393008,0.8852331857151411,0.0495,0.0996,0.0491,0.0492,0.0001
doodles-official,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.4347966415363128,0.3540748170988184,1.426405689393008,0.8852331857151411,0.0002,0.0,0.0004,0.0004,0.0
doodles-official,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.4347966415363128,0.3540748170988184,1.426405689393008,0.8852331857151411,0.2682,0.0019,0.4787,0.4796,0.1127
doodles-official,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,LSTM_MODEL,0.3511341301919178,0.3021604197288282,1.3067042029280511,0.8544570206367775,0.0027,0.0,0.0051,0.0051,0.0005
doodles-official,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.3511341301919178,0.3021604197288282,1.3067042029280511,0.8544570206367775,0.287,0.4627,0.3422,0.3429,0.0001
doodles-official,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,LSTM_MODEL,0.3511341301919178,0.3021604197288282,1.3067042029280511,0.8544570206367775,0.2682,0.0019,0.4787,0.4796,0.1127
