Collection,Params1,Params2,Model,test_rmse,test_mae,train_rmse,train_mae,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,Kolmogorov_PValue
otherdeed,FloorEthPrice,FloorEthPrice_VolumeInEth,GRU_MODEL,0.0749805266729321,0.0500773753094327,0.1471313357603385,0.0850555868301124,0.6554,0.0002,0.8099,0.8115,0.9999
otherdeed,FloorEthPrice,FloorEthPrice_Sales,GRU_MODEL,0.0749805266729321,0.0500773753094327,0.1471313357603385,0.0850555868301124,0.317,0.0,0.4003,0.4015,0.4662
otherdeed,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.0749805266729321,0.0500773753094327,0.1471313357603385,0.0850555868301124,0.7962,0.4352,0.9372,0.9389,0.8733
otherdeed,FloorEthPrice_VolumeInEth,FloorEthPrice,GRU_MODEL,0.0724515100700999,0.0507474634262789,0.1454395169705749,0.0860322804370017,0.6554,0.0002,0.8099,0.8115,0.9999
otherdeed,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,GRU_MODEL,0.0724515100700999,0.0507474634262789,0.1454395169705749,0.0860322804370017,0.2479,0.0,0.3221,0.3232,0.3465
otherdeed,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.0724515100700999,0.0507474634262789,0.1454395169705749,0.0860322804370017,0.6056,0.0326,0.7575,0.7592,0.8733
otherdeed,FloorEthPrice_Sales,FloorEthPrice,GRU_MODEL,0.075007715731654,0.0561785762839524,0.1646938473251854,0.110792185561402,0.317,0.0,0.4003,0.4015,0.4662
otherdeed,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,0.075007715731654,0.0561785762839524,0.1646938473251854,0.110792185561402,0.2479,0.0,0.3221,0.3232,0.3465
otherdeed,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.075007715731654,0.0561785762839524,0.1646938473251854,0.110792185561402,0.3598,0.0,0.4172,0.4185,0.6037
otherdeed,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,GRU_MODEL,0.0760977925715942,0.0538815282207295,0.1469096546734452,0.0902875273261274,0.7962,0.4352,0.9372,0.9389,0.8733
otherdeed,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,0.0760977925715942,0.0538815282207295,0.1469096546734452,0.0902875273261274,0.6056,0.0326,0.7575,0.7592,0.8733
otherdeed,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,GRU_MODEL,0.0760977925715942,0.0538815282207295,0.1469096546734452,0.0902875273261274,0.3598,0.0,0.4172,0.4185,0.6037
otherdeed,FloorEthPrice,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.0782437353812912,0.051771317126509,0.144081993230083,0.0825406140676838,0.7129,0.1834,0.8967,0.8983,0.8733
otherdeed,FloorEthPrice,FloorEthPrice_Sales,LSTM_MODEL,0.0782437353812912,0.051771317126509,0.144081993230083,0.0825406140676838,0.6416,0.2214,0.735,0.7366,0.8733
otherdeed,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.0782437353812912,0.051771317126509,0.144081993230083,0.0825406140676838,0.4945,0.0845,0.6441,0.6456,0.6037
otherdeed,FloorEthPrice_VolumeInEth,FloorEthPrice,LSTM_MODEL,0.0788604489422467,0.0594228632995011,0.171401433864679,0.1162168090544087,0.7129,0.1834,0.8967,0.8983,0.8733
otherdeed,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,LSTM_MODEL,0.0788604489422467,0.0594228632995011,0.171401433864679,0.1162168090544087,0.4355,0.0,0.497,0.4984,0.7465
otherdeed,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.0788604489422467,0.0594228632995011,0.171401433864679,0.1162168090544087,0.366,0.0,0.4296,0.4308,0.6037
otherdeed,FloorEthPrice_Sales,FloorEthPrice,LSTM_MODEL,0.0897204093636909,0.0684768701161992,0.1747156872747858,0.1210188635997421,0.6416,0.2214,0.735,0.7366,0.8733
otherdeed,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.0897204093636909,0.0684768701161992,0.1747156872747858,0.1210188635997421,0.4355,0.0,0.497,0.4984,0.7465
otherdeed,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.0897204093636909,0.0684768701161992,0.1747156872747858,0.1210188635997421,0.7157,0.0753,0.9135,0.9152,0.9589
otherdeed,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,LSTM_MODEL,0.0847873909253361,0.064461045018742,0.184758025667958,0.1290026990010439,0.4945,0.0845,0.6441,0.6456,0.6037
otherdeed,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.0847873909253361,0.064461045018742,0.184758025667958,0.1290026990010439,0.366,0.0,0.4296,0.4308,0.6037
otherdeed,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,LSTM_MODEL,0.0847873909253361,0.064461045018742,0.184758025667958,0.1290026990010439,0.7157,0.0753,0.9135,0.9152,0.9589
