Collection,Params1,Params2,Model,test_rmse,test_mae,train_rmse,train_mae,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,Kolmogorov_PValue
pudgypenguins,FloorEthPrice,FloorEthPrice_VolumeInEth,GRU_MODEL,0.3270655443403377,0.2021106560276213,0.9253343636494072,0.3907063811794991,0.4325,0.0289,0.553,0.5541,0.594
pudgypenguins,FloorEthPrice,FloorEthPrice_Sales,GRU_MODEL,0.3270655443403377,0.2021106560276213,0.9253343636494072,0.3907063811794991,0.2616,0.0,0.3429,0.3437,0.3598
pudgypenguins,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.3270655443403377,0.2021106560276213,0.9253343636494072,0.3907063811794991,0.0421,0.0,0.0757,0.0759,0.0168
pudgypenguins,FloorEthPrice_VolumeInEth,FloorEthPrice,GRU_MODEL,0.3690104191757066,0.2298360404687813,0.9957710600577732,0.562051386143733,0.4325,0.0289,0.553,0.5541,0.594
pudgypenguins,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,GRU_MODEL,0.3690104191757066,0.2298360404687813,0.9957710600577732,0.562051386143733,0.0778,0.0002,0.1419,0.1423,0.0269
pudgypenguins,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.3690104191757066,0.2298360404687813,0.9957710600577732,0.562051386143733,0.2372,0.0,0.2392,0.2399,0.4697
pudgypenguins,FloorEthPrice_Sales,FloorEthPrice,GRU_MODEL,0.344345726428398,0.221740602017582,0.8722615603097139,0.31485631622376,0.2616,0.0,0.3429,0.3437,0.3598
pudgypenguins,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,0.344345726428398,0.221740602017582,0.8722615603097139,0.31485631622376,0.0778,0.0002,0.1419,0.1423,0.0269
pudgypenguins,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.344345726428398,0.221740602017582,0.8722615603097139,0.31485631622376,0.0095,0.0,0.0184,0.0185,0.0011
pudgypenguins,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,GRU_MODEL,0.3657048988249829,0.2544883204838752,1.0419740924467036,0.6287253384804856,0.0421,0.0,0.0757,0.0759,0.0168
pudgypenguins,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,0.3657048988249829,0.2544883204838752,1.0419740924467036,0.6287253384804856,0.2372,0.0,0.2392,0.2399,0.4697
pudgypenguins,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,GRU_MODEL,0.3657048988249829,0.2544883204838752,1.0419740924467036,0.6287253384804856,0.0095,0.0,0.0184,0.0185,0.0011
pudgypenguins,FloorEthPrice,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.41865693523522,0.3580971311292739,0.934080957887772,0.5286347504097908,0.0012,0.0,0.0023,0.0023,0.0003
pudgypenguins,FloorEthPrice,FloorEthPrice_Sales,LSTM_MODEL,0.41865693523522,0.3580971311292739,0.934080957887772,0.5286347504097908,0.0032,0.0,0.0059,0.0059,0.0011
pudgypenguins,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.41865693523522,0.3580971311292739,0.934080957887772,0.5286347504097908,0.0002,0.0,0.0003,0.0003,0.0002
pudgypenguins,FloorEthPrice_VolumeInEth,FloorEthPrice,LSTM_MODEL,0.4200872635974008,0.2857065103738626,0.9110376046993788,0.3809129588797532,0.0012,0.0,0.0023,0.0023,0.0003
pudgypenguins,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,LSTM_MODEL,0.4200872635974008,0.2857065103738626,0.9110376046993788,0.3809129588797532,0.3673,0.0,0.4992,0.5002,0.4697
pudgypenguins,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.4200872635974008,0.2857065103738626,0.9110376046993788,0.3809129588797532,0.3091,0.0,0.383,0.3839,0.4697
pudgypenguins,FloorEthPrice_Sales,FloorEthPrice,LSTM_MODEL,0.4068247066167011,0.2786896110762278,0.9151004758430604,0.401386575975796,0.0032,0.0,0.0059,0.0059,0.0011
pudgypenguins,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.4068247066167011,0.2786896110762278,0.9151004758430604,0.401386575975796,0.3673,0.0,0.4992,0.5002,0.4697
pudgypenguins,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.4068247066167011,0.2786896110762278,0.9151004758430604,0.401386575975796,0.1054,0.0,0.1419,0.1423,0.1375
pudgypenguins,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,LSTM_MODEL,0.4455067855614396,0.2956659427146662,0.9115331922447638,0.3783953851874366,0.0002,0.0,0.0003,0.0003,0.0002
pudgypenguins,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.4455067855614396,0.2956659427146662,0.9115331922447638,0.3783953851874366,0.3091,0.0,0.383,0.3839,0.4697
pudgypenguins,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,LSTM_MODEL,0.4455067855614396,0.2956659427146662,0.9115331922447638,0.3783953851874366,0.1054,0.0,0.1419,0.1423,0.1375
